Beta,Alpha,Initial Node,Degree
0.002,2.0,5880,1813
0.002,2.11,6489,1071
0.002,2.22,5402,723
0.002,2.33,5769,266
0.002,2.44,4733,498
0.002,2.55,2428,157
0.002,2.66,1612,119
0.002,2.77,5301,71
0.002,2.88,1703,56
0.002,2.99,1443,50
0.070,2.0,8457,2592
0.070,2.11,5211,1882
0.070,2.22,7402,1173
0.070,2.33,7501,445
0.070,2.44,6988,118
0.070,2.55,4376,99
0.070,2.66,4688,144
0.070,2.77,7395,92
0.070,2.88,7690,105
0.070,2.99,6358,60
0.139,2.0,2204,2399
0.139,2.11,4885,385
0.139,2.22,8348,453
0.139,2.33,9668,628
0.139,2.44,2415,227
0.139,2.55,5072,193
0.139,2.66,1151,199
0.139,2.77,5033,78
0.139,2.88,7693,102
0.139,2.99,3787,41
0.207,2.0,3595,2851
0.207,2.11,1265,715
0.207,2.22,5364,559
0.207,2.33,9059,481
0.207,2.44,1279,197
0.207,2.55,3529,126
0.207,2.66,8566,155
0.207,2.77,5108,119
0.207,2.88,3724,74
0.207,2.99,9992,52
0.276,2.0,2168,1027
0.276,2.11,488,1603
0.276,2.22,8082,437
0.276,2.33,6380,321
0.276,2.44,9765,491
0.276,2.55,9351,276
0.276,2.66,6523,196
0.276,2.77,7868,82
0.276,2.88,4754,109
0.276,2.99,4811,46
0.344,2.0,3569,1681
0.344,2.11,7609,956
0.344,2.22,3744,672
0.344,2.33,1738,341
0.344,2.44,2887,201
0.344,2.55,8792,159
0.344,2.66,1860,185
0.344,2.77,105,76
0.344,2.88,8896,83
0.344,2.99,9479,66
0.413,2.0,9296,1854
0.413,2.11,7510,1024
0.413,2.22,5890,963
0.413,2.33,7987,492
0.413,2.44,4015,195
0.413,2.55,3665,94
0.413,2.66,5712,113
0.413,2.77,2061,82
0.413,2.88,7123,85
0.413,2.99,7117,40
0.481,2.0,281,1736
0.481,2.11,6618,1729
0.481,2.22,507,883
0.481,2.33,9271,472
0.481,2.44,6088,144
0.481,2.55,5890,164
0.481,2.66,6150,95
0.481,2.77,59,60
0.481,2.88,3752,37
0.481,2.99,8749,88
0.550,2.0,2155,1323
0.550,2.11,8779,627
0.550,2.22,692,470
0.550,2.33,1834,230
0.550,2.44,1648,344
0.550,2.55,8053,174
0.550,2.66,7818,233
0.550,2.77,6852,73
0.550,2.88,439,106
0.550,2.99,6556,96
0.618,2.0,1922,1283
0.618,2.11,4991,1844
0.618,2.22,4684,452
0.618,2.33,5156,621
0.618,2.44,1448,312
0.618,2.55,2148,283
0.618,2.66,7185,110
0.618,2.77,684,146
0.618,2.88,5869,68
0.618,2.99,522,68
