Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,25.23,57.9771,0.3017942726427516,23.74-26.72
0.002,2.2475,14.72,9.7816,0.212469766002197,14.11-15.33
0.002,2.495,12.33,3.941099999999997,0.16100733096414302,11.94-12.72
0.002,2.7425,11.05,1.6074999999999988,0.1147395686253933,10.8-11.3
0.002,2.99,10.54,0.6084000000000018,0.07400379506641377,10.39-10.69
0.15615,2.0,2011.41,67018.46189999998,0.1287053569017015,1960.67-2062.15
0.15615,2.2475,983.09,32762.161899999996,0.18411662171322085,947.61-1018.57
0.15615,2.495,281.87,9062.973100000003,0.3377431036783105,263.21-300.53
0.15615,2.7425,117.55,1693.3674999999992,0.35006845407435366,109.48-125.62
0.15615,2.99,59.12,497.30560000000014,0.3772048337794601,54.75-63.49
0.3103,2.0,3283.78,123745.15160000003,0.10712480455559456,3214.83-3352.73
0.3103,2.2475,1958.68,43271.6976,0.1062034140457699,1917.91-1999.45
0.3103,2.495,809.85,36040.3875,0.23441755903430503,772.64-847.06
0.3103,2.7425,254.24,8160.542400000002,0.35531671062642894,236.53-271.95
0.3103,2.99,116.06,1452.0163999999993,0.32832442667670947,108.59-123.53
0.46445,2.0,4133.52,120780.10960000001,0.08407708893729567,4065.4-4201.64
0.46445,2.2475,2670.52,65767.22959999996,0.09603044450240919,2620.26-2720.78
0.46445,2.495,1300.87,52520.63310000001,0.17616964449970032,1255.95-1345.79
0.46445,2.7425,440.33,19733.021099999998,0.319020443807157,412.8-467.86
0.46445,2.99,169.82,2373.7875999999997,0.28690101975400695,160.27-179.37
0.6186,2.0,4765.79,121286.22590000002,0.07307533911603094,4697.53-4834.05
0.6186,2.2475,3240.73,71616.23709999997,0.08257772228205823,3188.28-3293.18
0.6186,2.495,1747.64,53471.65040000001,0.13231522453098987,1702.32-1792.96
0.6186,2.7425,668.0,36013.68,0.2840908774720547,630.8-705.2
0.6186,2.99,220.46,4943.2284,0.3189154325596248,206.68-234.24
