Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,3.47,5.509099999999995,0.676411298151838,3.01-3.93
0.002,2.2475,1.87,1.1131000000000022,0.5641901307085171,1.66-2.08
0.002,2.495,1.38,0.5155999999999998,0.5203282049569925,1.24-1.52
0.002,2.7425,1.19,0.1739000000000002,0.35043125146206816,1.11-1.27
0.002,2.99,1.05,0.047500000000000014,0.20756661635907972,1.01-1.09
0.15615,2.0,778.5,9461.19,0.12494367193009964,759.44-797.56
0.15615,2.2475,264.89,11838.617900000001,0.4107569670758752,243.56-286.22
0.15615,2.495,50.95,1895.4875000000006,0.8545082775320666,42.42-59.48
0.15615,2.7425,15.54,147.5284,0.7816040511398177,13.16-17.92
0.15615,2.99,7.6,21.56,0.6109571982233631,6.69-8.51
0.3103,2.0,1325.69,16379.353900000002,0.09653980182776672,1300.61-1350.77
0.3103,2.2475,651.75,23398.0075,0.2346974646400487,621.77-681.73
0.3103,2.495,189.69,10289.633900000004,0.5347558262735922,169.81-209.57
0.3103,2.7425,37.8,787.1399999999994,0.7422226295706784,32.3-43.3
0.3103,2.99,13.03,82.7891,0.6983001976888586,11.25-14.81
0.46445,2.0,1785.54,93571.84840000002,0.171318009769622,1725.58-1845.5
0.46445,2.2475,1012.2,27683.23999999999,0.1643774072438822,979.59-1044.81
0.46445,2.495,374.71,21623.32590000002,0.39243340043658725,345.89-403.53
0.46445,2.7425,73.76,3295.9824000000003,0.7783439139935131,62.51-85.01
0.46445,2.99,18.93,225.24510000000012,0.7928244995376498,15.99-21.87
0.6186,2.0,2226.7,20564.949999999997,0.06440241006919921,2198.59-2254.81
0.6186,2.2475,1297.96,54225.35839999998,0.17940721593506612,1252.32-1343.6
0.6186,2.495,541.68,28162.377599999996,0.30980745049611413,508.79-574.57
0.6186,2.7425,122.78,8360.051599999999,0.7446922770694462,104.86-140.7
0.6186,2.99,29.0,595.52,0.8414923609748769,24.22-33.78
