Beta,Alpha,Average_FinalTime
0.002,2.0,2.295425266336533
0.002,2.2475,1.4171633920384263
0.002,2.495,1.0981281453996528
0.002,2.7425,0.9699511250865349
0.002,2.99,1.0422936403796774
0.15615,2.0,10.782120000315496
0.15615,2.2475,11.173200456033078
0.15615,2.495,8.187822435230128
0.15615,2.7425,4.687526965584794
0.15615,2.99,3.843466554670986
0.3103,2.0,10.321340533714999
0.3103,2.2475,10.645044418164602
0.3103,2.495,10.633521675389986
0.3103,2.7425,7.492492698463862
0.3103,2.99,4.251626155612995
0.46445,2.0,9.999771609073104
0.46445,2.2475,10.414368580120401
0.46445,2.495,10.90267100490077
0.46445,2.7425,8.672711602818577
0.46445,2.99,4.524474021669433
0.6186,2.0,10.214385682593099
0.6186,2.2475,10.2259095189003
0.6186,2.495,10.21337615742728
0.6186,2.7425,9.421431722506123
0.6186,2.99,5.343497746657987
