Beta,Alpha,Average_EventInf
0.002,2.0,4.95
0.002,2.2475,2.07
0.002,2.495,1.44
0.002,2.7425,1.2
0.002,2.99,1.05
0.15615,2.0,2067.0
0.15615,2.2475,906.99
0.15615,2.495,186.29
0.15615,2.7425,37.28
0.15615,2.99,14.36
0.3103,2.0,3195.9
0.3103,2.2475,1889.39
0.3103,2.495,708.55
0.3103,2.7425,122.71
0.3103,2.99,25.79
0.46445,2.0,4055.58
0.46445,2.2475,2647.58
0.46445,2.495,1231.41
0.46445,2.7425,286.1
0.46445,2.99,45.98
0.6186,2.0,4771.64
0.6186,2.2475,3204.33
0.6186,2.495,1639.85
0.6186,2.7425,474.7
0.6186,2.99,74.25
