Beta,Alpha,Average_MaxInf
0.002,2.0,3.47
0.002,2.2475,1.87
0.002,2.495,1.38
0.002,2.7425,1.19
0.002,2.99,1.05
0.15615,2.0,778.5
0.15615,2.2475,264.89
0.15615,2.495,50.95
0.15615,2.7425,15.54
0.15615,2.99,7.6
0.3103,2.0,1325.69
0.3103,2.2475,651.75
0.3103,2.495,189.69
0.3103,2.7425,37.8
0.3103,2.99,13.03
0.46445,2.0,1785.54
0.46445,2.2475,1012.2
0.46445,2.495,374.71
0.46445,2.7425,73.76
0.46445,2.99,18.93
0.6186,2.0,2226.7
0.6186,2.2475,1297.96
0.6186,2.495,541.68
0.6186,2.7425,122.78
0.6186,2.99,29.0
