Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,4.0584810256952,2.912879777562851,0.42053075255132255,3.72-4.39
0.002,2.2475,3.038665232821941,2.9687188671756006,0.567024310847695,2.7-3.38
0.002,2.495,2.5254702267143596,1.7813888657495522,0.5284904134873684,2.26-2.79
0.002,2.7425,2.39573126531746,1.43363091758527,0.49978196306160366,2.16-2.63
0.002,2.99,2.47744665140029,1.6739696619516147,0.5222392152321754,2.22-2.73
0.15615,2.0,10.632990045175907,2.845618131951794,0.1586473793271743,10.3-10.96
0.15615,2.2475,11.163890618995895,2.8879848486465676,0.1522235628302541,10.83-11.5
0.15615,2.495,9.562024013537101,7.204758538914001,0.2807112933532534,9.04-10.09
0.15615,2.7425,6.546327870385403,6.048222828522956,0.3756783246934587,6.06-7.03
0.15615,2.99,5.265271683453702,2.9896774928594145,0.32839110546761935,4.93-5.6
0.3103,2.0,9.784540157000198,2.3197704269159214,0.15566181279984126,9.49-10.08
0.3103,2.2475,11.457923184700803,2.4698009880900154,0.13715924114853803,11.15-11.77
0.3103,2.495,11.387132223195703,3.348075358522201,0.16068792724839912,11.03-11.75
0.3103,2.7425,8.324360583324502,4.993074672821934,0.2684312949104873,7.89-8.76
0.3103,2.99,6.4751731183154,4.011093855763482,0.3093000769218765,6.08-6.87
0.46445,2.0,10.111638312555595,1.5049752816710766,0.1213230044665578,9.87-10.35
0.46445,2.2475,10.3256029397763,2.330563607256637,0.1478478657065944,10.03-10.62
0.46445,2.495,11.106517572913802,4.22529811333353,0.1850762834559412,10.7-11.51
0.46445,2.7425,9.968492314643703,5.84967203699875,0.24262540905810015,9.49-10.44
0.46445,2.99,6.6152616838031015,2.805551397333291,0.2531990583247304,6.29-6.94
0.6186,2.0,10.041380115962198,1.3473738726551772,0.11559808861478571,9.81-10.27
0.6186,2.2475,10.602019831695998,2.0953333343125458,0.13653309929991791,10.32-10.89
0.6186,2.495,10.618252531216502,1.9441255025308335,0.1313134158579916,10.34-10.89
0.6186,2.7425,10.3193512172,3.1988975386953684,0.17331963710771217,9.97-10.67
0.6186,2.99,7.726988114541903,3.2683743383974195,0.23396756315179673,7.37-8.08
