Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.0,0,6,14,6.863612370119999
0.002,2.0,1,11,16,3.9740242626
0.002,2.0,10,9,14,7.7702327990999995
0.002,2.0,11,15,27,6.02392486951
0.002,2.0,12,9,14,2.98375029388
0.002,2.0,13,5,9,8.27753082233
0.002,2.0,14,8,15,6.64355949125
0.002,2.0,15,5,7,1.9159139070099998
0.002,2.0,16,5,7,2.43489273523
0.002,2.0,17,6,10,2.40948623211
0.002,2.0,18,11,19,3.7843587253699993
0.002,2.0,19,8,12,3.41057929855
0.002,2.0,2,12,20,5.9494705018300005
0.002,2.0,20,5,10,1.9545572254499999
0.002,2.0,21,9,17,4.23041447392
0.002,2.0,22,8,15,6.22958434521
0.002,2.0,23,15,20,6.67506025909
0.002,2.0,24,7,10,2.05606123787
0.002,2.0,25,7,13,2.1635738319
0.002,2.0,26,11,26,6.33190394495
0.002,2.0,27,5,8,3.13551978945
0.002,2.0,28,13,17,8.15287103943
0.002,2.0,29,12,22,4.60785267354
0.002,2.0,3,11,24,3.6089288409599996
0.002,2.0,30,12,28,4.98314673493
0.002,2.0,31,8,13,3.4819305140599996
0.002,2.0,32,6,9,2.1148827964900003
0.002,2.0,33,8,10,3.3381091637299996
0.002,2.0,34,18,35,5.582581698309999
0.002,2.0,35,6,16,3.8255570924800004
0.002,2.0,36,5,7,5.974853233119999
0.002,2.0,37,10,20,4.35843203761
0.002,2.0,38,7,10,4.24502559286
0.002,2.0,39,8,16,3.6931857105300003
0.002,2.0,4,6,9,2.85440834011
0.002,2.0,40,11,15,4.3436652713
0.002,2.0,41,13,27,4.76572211884
0.002,2.0,42,10,18,3.78000970501
0.002,2.0,43,12,24,3.19693645089
0.002,2.0,44,11,30,5.64620757018
0.002,2.0,45,12,29,7.376826239760001
0.002,2.0,46,9,14,3.8179151776599998
0.002,2.0,47,5,6,2.3939059119
0.002,2.0,48,8,11,2.30697366928
0.002,2.0,49,7,12,3.11090633676
0.002,2.0,5,7,13,4.70480674292
0.002,2.0,50,11,15,2.8561020724799997
0.002,2.0,51,6,6,1.62282094682
0.002,2.0,52,12,24,4.408237049469999
0.002,2.0,53,6,8,2.0760722051
0.002,2.0,54,9,19,4.17103844361
0.002,2.0,55,7,11,3.38395007955
0.002,2.0,56,13,16,4.16429510881
0.002,2.0,57,12,23,4.28831893979
0.002,2.0,58,7,19,6.07728911404
0.002,2.0,59,9,23,4.17009944361
0.002,2.0,6,7,17,3.9437433492800005
0.002,2.0,60,7,12,1.84555242352
0.002,2.0,61,10,27,5.03368424904
0.002,2.0,62,15,39,7.59643828719
0.002,2.0,63,8,18,3.68532164378
0.002,2.0,64,5,8,2.54789816335
0.002,2.0,65,17,25,5.59708994788
0.002,2.0,66,15,22,5.14305146511
0.002,2.0,67,16,30,5.5482970362
0.002,2.0,68,8,17,3.96275707328
0.002,2.0,69,8,14,6.729613937280001
0.002,2.0,7,7,12,3.8940107827099997
0.002,2.0,70,11,22,5.445176425619999
0.002,2.0,71,7,11,4.46525003964
0.002,2.0,72,5,12,6.22965699354
0.002,2.0,73,11,19,4.62809854289
0.002,2.0,74,10,19,3.22779292463
0.002,2.0,75,10,16,5.06811479163
0.002,2.0,76,6,14,3.9162620634500005
0.002,2.0,77,5,7,2.75610374282
0.002,2.0,78,7,11,2.46570396575
0.002,2.0,79,10,23,4.00298792173
0.002,2.0,8,5,12,4.238326423919999
0.002,2.0,80,11,26,3.82403925122
0.002,2.0,81,7,8,2.2726266061700002
0.002,2.0,82,9,12,1.1651017345499999
0.002,2.0,83,5,6,1.1439034556899998
0.002,2.0,84,7,14,7.64634734795
0.002,2.0,85,5,9,1.45874183644
0.002,2.0,86,12,27,5.63180628258
0.002,2.0,87,6,11,3.44817418191
0.002,2.0,88,6,14,4.3430828758899995
0.002,2.0,89,11,16,2.2546934778599996
0.002,2.0,9,9,16,5.87637191464
0.002,2.0,90,8,13,2.181754783
0.002,2.0,91,13,17,2.75421946825
0.002,2.0,92,8,14,4.18828363351
0.002,2.0,93,12,20,2.87509011945
0.002,2.0,94,5,6,1.0368806213500001
0.002,2.0,95,9,13,4.58235003541
0.002,2.0,96,7,11,2.50426945394
0.002,2.0,97,6,10,2.49186452845
0.002,2.0,98,5,8,1.96476547253
0.002,2.0,99,9,10,1.53092781182
0.002,2.2475,0,6,9,3.5494207696099997
0.002,2.2475,1,5,6,0.958549719522
0.002,2.2475,10,8,14,2.9572205026200002
0.002,2.2475,11,5,5,1.8968681431799999
0.002,2.2475,12,5,6,2.33409869643
0.002,2.2475,13,5,7,2.81753746363
0.002,2.2475,14,6,7,2.14413756893
0.002,2.2475,15,5,6,1.18493095854
0.002,2.2475,16,5,7,1.06003769391
0.002,2.2475,17,5,6,1.3335378135299998
0.002,2.2475,18,5,7,3.56041029167
0.002,2.2475,19,5,5,2.2953457954700003
0.002,2.2475,2,5,9,2.91967413512
0.002,2.2475,20,5,7,2.95297209589
0.002,2.2475,21,8,14,5.11971246908
0.002,2.2475,22,5,7,1.5598447333599998
0.002,2.2475,23,7,13,5.45292211439
0.002,2.2475,24,7,8,2.51644818814
0.002,2.2475,25,5,8,1.34058417403
0.002,2.2475,26,5,5,0.482827304587
0.002,2.2475,27,7,11,3.45192547525
0.002,2.2475,28,7,10,2.78785085613
0.002,2.2475,29,8,11,5.609428574140001
