Beta,Alpha,Average_FinalTime
0.002,2.0,4.569199076271899
0.002,2.2475,3.5473406662585814
0.002,2.495,3.2910287817328987
0.002,2.7425,3.160278679989141
0.002,2.99,2.6622262589027605
0.15615,2.0,10.1099408268468
0.15615,2.2475,11.075912864918799
0.15615,2.495,9.0583842666783
0.15615,2.7425,6.7527737974240996
0.15615,2.99,5.710313962091899
0.3103,2.0,10.1035368989782
0.3103,2.2475,10.6571422103095
0.3103,2.495,10.991472738006998
0.3103,2.7425,8.5489532152874
0.3103,2.99,6.688945588440503
0.46445,2.0,10.317364776406901
0.46445,2.2475,10.572593485308904
0.46445,2.495,10.8840498293598
0.46445,2.7425,9.656462638630003
0.46445,2.99,7.306761012656304
0.6186,2.0,9.886202869980801
0.6186,2.2475,10.349533451367002
0.6186,2.495,11.0047984102474
0.6186,2.7425,9.9505112208442
0.6186,2.99,7.705779472743797
