Beta,Alpha,Average_MaxInf
0.002,2.0,8.84
0.002,2.2475,6.09
0.002,2.495,5.31
0.002,2.7425,5.19
0.002,2.99,5.09
0.15615,2.0,746.84
0.15615,2.2475,287.94
0.15615,2.495,78.22
0.15615,2.7425,30.3
0.15615,2.99,19.71
0.3103,2.0,1324.92
0.3103,2.2475,672.64
0.3103,2.495,214.61
0.3103,2.7425,72.31
0.3103,2.99,34.7
0.46445,2.0,1782.61
0.46445,2.2475,1005.62
0.46445,2.495,411.45
0.46445,2.7425,113.47
0.46445,2.99,51.22
0.6186,2.0,2185.43
0.6186,2.2475,1286.98
0.6186,2.495,590.77
0.6186,2.7425,175.41
0.6186,2.99,67.76
