Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,10.24,1.3824000000000023,0.11481983169296156,10.01-10.47
0.002,2.2475,10.04,0.03839999999999995,0.01951784655604125,10.0-10.08
0.002,2.495,10.03,0.02910000000000009,0.017007699012195423,10.0-10.06
0.002,2.7425,10.05,0.04749999999999992,0.021686064395724725,10.01-10.09
0.002,2.99,10.02,0.0196,0.013972055888223553,9.99-10.05
0.15615,2.0,2048.32,98818.69760000003,0.15346938661828166,1986.71-2109.93
0.15615,2.2475,785.33,207992.5411,0.580726564127524,695.94-874.72
0.15615,2.495,90.88,20366.345600000004,1.570320268215342,62.91-118.85
0.15615,2.7425,22.85,728.6875000000001,1.181365966855517,17.56-28.14
0.15615,2.99,15.98,86.2996,0.5813365332248587,14.16-17.8
0.3103,2.0,3219.82,113268.26759999999,0.10452556780318265,3153.86-3285.78
0.3103,2.2475,1828.65,300746.6075000001,0.299895381985837,1721.16-1936.14
0.3103,2.495,527.92,174987.13359999994,0.792382623683487,445.93-609.91
0.3103,2.7425,65.87,8384.873100000003,1.3901465417911327,47.92-83.82
0.3103,2.99,24.76,332.7223999999998,0.7366995077501199,21.18-28.34
0.46445,2.0,4075.97,143593.56910000002,0.09296864822040214,4001.7-4150.24
0.46445,2.2475,2720.17,69085.9011,0.0966270379506328,2668.65-2771.69
0.46445,2.495,1148.4,239123.94,0.42581244002588753,1052.56-1244.24
0.46445,2.7425,240.29,68146.5259,1.0863910092452078,189.12-291.46
0.46445,2.99,44.75,2785.4075,1.1793734063728232,34.41-55.09
0.6186,2.0,4771.98,183792.6196,0.08983910548990993,4687.95-4856.01
0.6186,2.2475,3267.2,85757.79999999999,0.0896315888974421,3209.8-3324.6
0.6186,2.495,1685.13,140393.3731,0.22235141315845103,1611.69-1758.57
0.6186,2.7425,437.89,108930.29790000005,0.753718748353643,373.2-502.58
0.6186,2.99,72.62,6205.4356,1.084750582109613,57.18-88.06
