Beta,Alpha,Average_FinalTime
0.002,2.0,3.0325153480899805
0.002,2.2475,2.7734080746506997
0.002,2.495,3.0121837010108603
0.002,2.7425,2.9942963992264593
0.002,2.99,2.985815283573389
0.15615,2.0,10.734887324581802
0.15615,2.2475,10.297669792718798
0.15615,2.495,6.164967306121699
0.15615,2.7425,4.4907576281983985
0.15615,2.99,3.8649354163570893
0.3103,2.0,10.5269954098607
0.3103,2.2475,10.889842711141704
0.3103,2.495,9.749559042886998
0.3103,2.7425,5.557989688188798
0.3103,2.99,4.767668855761701
0.46445,2.0,10.191756523070998
0.46445,2.2475,10.8306358052602
0.46445,2.495,11.2218499455963
0.46445,2.7425,8.392249845884097
0.46445,2.99,5.080983318189399
0.6186,2.0,10.257953239963303
0.6186,2.2475,10.5696203906216
0.6186,2.495,11.623090683084994
0.6186,2.7425,10.1192255755915
0.6186,2.99,5.928883937355571
