Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,0.9415666881068296,0.9470557780056857,1.0335623814290285,0.75-1.13
0.002,2.2475,0.9293248120976237,0.8564235559866481,0.9958106564781004,0.75-1.11
0.002,2.495,1.180870567250061,1.0837137486943207,0.8815663275828236,0.98-1.38
0.002,2.7425,1.1768884574294094,1.3153094144776285,0.9744928587466005,0.95-1.4
0.002,2.99,0.8931759967921802,1.1679241419091189,1.2099579419690452,0.68-1.1
0.15615,2.0,3.9807603823035005,25.080814985442498,1.2580699406778377,3.0-4.96
0.15615,2.2475,2.0671490717726284,11.355082936172662,1.6301341984428475,1.41-2.73
0.15615,2.495,1.5095281384652228,8.220421993663598,1.8993536834186229,0.95-2.07
0.15615,2.7425,1.2591755586176243,2.8419332527164625,1.3388152531501587,0.93-1.59
0.15615,2.99,1.1069162819369815,1.3393441833311175,1.0455175380830488,0.88-1.33
0.3103,2.0,6.660635965858785,27.3865059108485,0.7856925138677994,5.63-7.69
0.3103,2.2475,4.2032362212954,27.159694885458467,1.2398771186779056,3.18-5.22
0.3103,2.495,2.012009743917703,8.933134438156005,1.4854972608295487,1.43-2.6
0.3103,2.7425,1.596156507210699,5.510552272966359,1.470693220499161,1.14-2.06
0.3103,2.99,1.3268406987579409,2.3129552747089672,1.1462116891902698,1.03-1.62
0.46445,2.0,8.227492299043082,22.474898353446314,0.5762107861890918,7.3-9.16
0.46445,2.2475,5.153754869548955,28.63827227518091,1.038364062097436,4.1-6.2
0.46445,2.495,3.3621996756539487,25.705423745084286,1.5079567367276472,2.37-4.36
0.46445,2.7425,2.337174051256626,9.816479257257699,1.3405617412513509,1.72-2.95
0.46445,2.99,1.5324138834126768,3.2843660703781,1.1826322026457998,1.18-1.89
0.6186,2.0,7.932944525798162,21.628872994507997,0.5862495574771919,7.02-8.84
0.6186,2.2475,4.286095615246366,27.84207014313195,1.231087456921217,3.25-5.32
0.6186,2.495,4.136088147861186,26.229197077562198,1.238233964112981,3.13-5.14
0.6186,2.7425,3.3005996053253623,21.980004395048372,1.4204339505630748,2.38-4.22
0.6186,2.99,1.5338167398128775,3.6992930928960823,1.2539663935812402,1.16-1.91
