Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,5.02,0.01959999999999997,0.027888446215139424,4.99-5.05
0.002,2.2475,5.01,0.009899999999999997,0.019860028684762873,4.99-5.03
0.002,2.495,5.0,0.0,0.0,5.0-5.0
0.002,2.7425,5.01,0.009899999999999996,0.01986002868476287,4.99-5.03
0.002,2.99,5.01,0.009899999999999997,0.019860028684762873,4.99-5.03
0.15615,2.0,662.98,88268.2796,0.4481278176493859,604.75-721.21
0.15615,2.2475,138.59,24542.961900000006,1.1303985501868312,107.88-169.3
0.15615,2.495,18.25,1081.4675,1.8019546943764917,11.8-24.7
0.15615,2.7425,6.01,4.829900000000006,0.36567443372347314,5.58-6.44
0.15615,2.99,5.66,5.624400000000012,0.4190073764393294,5.2-6.12
0.3103,2.0,1292.77,89850.55709999998,0.2318670954769335,1234.02-1351.52
0.3103,2.2475,506.37,97559.43309999994,0.6168316735727837,445.15-567.59
0.3103,2.495,102.51,15328.989900000002,1.2077875137738419,78.24-126.78
0.3103,2.7425,16.96,690.3183999999987,1.549169281517725,11.81-22.11
0.3103,2.99,7.16,17.73440000000002,0.5881596508715916,6.33-7.99
0.46445,2.0,1807.05,52133.20750000001,0.12635343514141678,1762.3-1851.8
0.46445,2.2475,855.73,151126.31710000001,0.4542901199827776,779.54-931.92
0.46445,2.495,282.79,41815.645899999996,0.723111647236255,242.71-322.87
0.46445,2.7425,38.82,2888.3076000000005,1.3844146629477734,28.29-49.35
0.46445,2.99,12.93,166.8050999999998,0.9988634860363732,10.4-15.46
0.6186,2.0,2178.37,39928.9931,0.09173024045458868,2139.2-2217.54
0.6186,2.2475,1222.71,125729.2459000001,0.28999779199537146,1153.21-1292.21
0.6186,2.495,432.93,73292.1451,0.6253325495054717,379.87-485.99
0.6186,2.7425,88.35,9211.747500000007,1.0863367176790648,69.54-107.16
0.6186,2.99,16.53,321.90909999999997,1.0854098872759654,13.01-20.05
