Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.0,0,5,5,4.83219442884
0.002,2.0,1,5,5,4.46674401066
0.002,2.0,10,5,5,1.38720544294
0.002,2.0,11,5,5,2.05624896635
0.002,2.0,12,5,5,1.3910469033300001
0.002,2.0,13,6,6,5.36607313439
0.002,2.0,14,5,5,2.5371663786700003
0.002,2.0,15,5,5,2.8079568940400006
0.002,2.0,16,5,5,3.23311358085
0.002,2.0,17,5,5,4.75793438179
0.002,2.0,18,5,5,2.8561745279000004
0.002,2.0,19,5,5,2.2776961295400002
0.002,2.0,2,5,5,1.29889901977
0.002,2.0,20,5,5,1.70226815195
0.002,2.0,21,5,5,1.00754773622
0.002,2.0,22,5,5,1.80427898688
0.002,2.0,23,5,5,1.3263477614599999
0.002,2.0,24,5,5,4.66772740328
0.002,2.0,25,5,5,0.890662324208
0.002,2.0,26,5,5,2.57200934874
0.002,2.0,27,5,5,1.64368808494
0.002,2.0,28,5,5,1.8247309796400002
0.002,2.0,29,5,5,1.08874394346
0.002,2.0,3,5,5,1.61179035063
0.002,2.0,30,5,5,0.6941543185469999
0.002,2.0,31,5,5,1.25110377997
0.002,2.0,32,5,5,4.26913285639
0.002,2.0,33,5,5,1.76076479717
0.002,2.0,34,5,5,0.9784754478159999
0.002,2.0,35,5,5,1.27705212262
0.002,2.0,36,5,5,5.01173124471
0.002,2.0,37,5,5,1.4970868527599999
0.002,2.0,38,5,5,0.9808366323379999
0.002,2.0,39,5,5,4.87577509003
0.002,2.0,4,5,5,1.37302922382
0.002,2.0,40,5,5,2.16229278974
0.002,2.0,41,5,5,2.64949148458
0.002,2.0,42,5,5,2.60615424346
0.002,2.0,43,5,5,5.521429985549999
0.002,2.0,44,5,5,1.4290449865000001
0.002,2.0,45,5,5,1.34950520125
0.002,2.0,46,5,5,2.82832110651
0.002,2.0,47,5,5,3.31263137611
0.002,2.0,48,5,5,0.740270455707
0.002,2.0,49,5,6,2.1089757430000002
0.002,2.0,5,5,5,2.43904750493
0.002,2.0,50,5,5,1.52537059882
0.002,2.0,51,5,5,2.44955537659
0.002,2.0,52,5,5,2.12965903345
0.002,2.0,53,5,5,2.47584569596
0.002,2.0,54,5,5,1.9025482794400002
0.002,2.0,55,5,5,4.57915916759
0.002,2.0,56,5,5,1.8656046286400003
0.002,2.0,57,5,5,3.8806595229300003
0.002,2.0,58,6,6,1.21392479835
0.002,2.0,59,5,5,0.619745869816
0.002,2.0,6,5,5,1.6387854720299997
0.002,2.0,60,5,5,1.8347847665
0.002,2.0,61,5,5,1.34280380959
0.002,2.0,62,5,5,2.29070294676
0.002,2.0,63,5,5,3.1167506564700003
0.002,2.0,64,5,5,2.42681416347
0.002,2.0,65,5,5,1.80454721482
0.002,2.0,66,5,5,3.6711106989199997
0.002,2.0,67,5,5,0.931630060539
0.002,2.0,68,5,5,2.70792662869
0.002,2.0,69,5,5,1.8347847665
0.002,2.0,7,5,5,1.36578164698
0.002,2.0,70,5,5,0.600287199354
0.002,2.0,71,5,5,0.600287199354
0.002,2.0,72,5,5,0.600287199354
0.002,2.0,73,5,5,0.600287199354
0.002,2.0,74,5,5,2.6042229081799997
0.002,2.0,75,5,5,0.600287199354
0.002,2.0,76,5,5,0.600287199354
0.002,2.0,77,5,5,3.6552415748300002
0.002,2.0,78,5,5,3.2110160395999996
0.002,2.0,79,5,5,0.600287199354
0.002,2.0,8,5,5,2.1785849901299996
0.002,2.0,80,5,5,1.50258446356
0.002,2.0,81,5,5,1.50258446356
0.002,2.0,82,5,5,1.50258446356
0.002,2.0,83,5,5,1.50258446356
0.002,2.0,84,5,5,2.01853975802
0.002,2.0,85,5,5,6.43799783112
0.002,2.0,86,5,5,1.15158373857
0.002,2.0,87,5,5,3.0249227584599994
0.002,2.0,88,5,5,1.34406805097
0.002,2.0,89,5,5,1.50258446356
0.002,2.0,9,5,5,2.26384211733
0.002,2.0,90,5,5,1.16858279659
0.002,2.0,91,5,5,1.16858279659
0.002,2.0,92,5,5,0.982636605334
0.002,2.0,93,5,5,3.8019985990599996
0.002,2.0,94,5,5,1.16858279659
0.002,2.0,95,5,5,1.16858279659
0.002,2.0,96,5,5,1.40043271301
0.002,2.0,97,5,5,0.8509324494580001
0.002,2.0,98,5,5,4.2222122863800005
0.002,2.0,99,5,5,2.33395426082
0.002,2.2475,0,5,5,2.8922076883599996
0.002,2.2475,1,5,5,2.58519334311
0.002,2.2475,10,5,5,4.52189632713
0.002,2.2475,11,5,5,4.52189632713
0.002,2.2475,12,5,5,4.52189632713
0.002,2.2475,13,5,5,1.12809072634
0.002,2.2475,14,5,5,4.52189632713
0.002,2.2475,15,5,5,4.52189632713
0.002,2.2475,16,5,5,1.42241827294
0.002,2.2475,17,5,5,2.1565367387
0.002,2.2475,18,5,5,5.2603358237
0.002,2.2475,19,5,5,4.52189632713
0.002,2.2475,2,5,5,1.66624197274
0.002,2.2475,20,5,5,3.3652697149599997
0.002,2.2475,21,5,5,3.3652697149599997
0.002,2.2475,22,5,5,3.71469267085
0.002,2.2475,23,5,5,4.80606613139
0.002,2.2475,24,5,5,1.9249925254900002
0.002,2.2475,25,5,5,2.15843585286
0.002,2.2475,26,5,5,2.58914723967
0.002,2.2475,27,5,5,2.52888199187
0.002,2.2475,28,5,5,3.3652697149599997
0.002,2.2475,29,5,5,3.3652697149599997
0.002,2.2475,3,5,5,2.5698092055900004
0.002,2.2475,30,5,5,1.51135542558
0.002,2.2475,31,5,5,2.22296828729
0.002,2.2475,32,5,5,1.51135542558
0.002,2.2475,33,5,5,1.51135542558
0.002,2.2475,34,5,5,2.51952208099
0.002,2.2475,35,5,5,1.61224937782
0.002,2.2475,36,5,5,0.7370281836779999
0.002,2.2475,37,5,5,1.55005296724
0.002,2.2475,38,5,5,2.02603129875
0.002,2.2475,39,5,5,1.32068693123
0.002,2.2475,4,5,5,2.2162560073199997
0.002,2.2475,40,5,5,2.2162560073199997
0.002,2.2475,41,5,5,2.2162560073199997
0.002,2.2475,42,5,5,2.2162560073199997
0.002,2.2475,43,5,5,2.1236643538499997
0.002,2.2475,44,5,5,2.5289866401
0.002,2.2475,45,5,5,3.29787773685
0.002,2.2475,46,5,5,1.6200369739200002
0.002,2.2475,47,5,5,1.8561792719699999
0.002,2.2475,48,5,5,4.89637245425
0.002,2.2475,49,5,5,2.22320267747
0.002,2.2475,5,5,5,1.45138670271
0.002,2.2475,50,5,5,1.45138670271
0.002,2.2475,51,5,5,1.84333899531
0.002,2.2475,52,5,5,2.3182469862
0.002,2.2475,53,5,5,1.05990672201
0.002,2.2475,54,5,5,1.0576789741600001
0.002,2.2475,55,5,5,2.24906275825
0.002,2.2475,56,5,5,1.77932361345
0.002,2.2475,57,6,6,1.83414494225
0.002,2.2475,58,5,5,2.34497506076
0.002,2.2475,59,5,5,2.2681351049000003
0.002,2.2475,6,5,5,1.96589618377
0.002,2.2475,60,5,5,0.845736488441
0.002,2.2475,61,5,5,2.43300804409
0.002,2.2475,62,5,5,1.4262283958000002
0.002,2.2475,63,5,5,1.8576668550599997
0.002,2.2475,64,5,5,2.30328100236
0.002,2.2475,65,5,5,1.0846554664
0.002,2.2475,66,5,5,0.851422683425
0.002,2.2475,67,5,5,4.89810721167
0.002,2.2475,68,5,5,1.50374124669
0.002,2.2475,69,5,5,2.47816369196
0.002,2.2475,7,5,5,1.7120292514200002
0.002,2.2475,70,5,5,2.39707460393
0.002,2.2475,71,5,5,1.81118239563
0.002,2.2475,72,5,5,2.4234196185599997
0.002,2.2475,73,5,5,1.99560786002
0.002,2.2475,74,5,5,2.60571653562
0.002,2.2475,75,5,5,4.33026657703
0.002,2.2475,76,5,5,1.10887535505
0.002,2.2475,77,5,5,1.44200080489
0.002,2.2475,78,5,5,2.14965691162
0.002,2.2475,79,5,5,1.3422072098700002
0.002,2.2475,8,5,5,0.9344500688770001
0.002,2.2475,80,5,5,0.9344500688770001
0.002,2.2475,81,5,5,3.4386254034400006
0.002,2.2475,82,5,5,1.1005255989799998
0.002,2.2475,83,5,5,2.67715359683
0.002,2.2475,84,5,5,3.02573497414
0.002,2.2475,85,5,5,3.56388224495
0.002,2.2475,86,5,5,4.3454702454100005
0.002,2.2475,87,5,5,2.2377992823099997
0.002,2.2475,88,5,5,2.58470219098
0.002,2.2475,89,5,5,3.5174587319099997
0.002,2.2475,9,5,5,0.945876118301
0.002,2.2475,90,5,5,0.945876118301
0.002,2.2475,91,5,5,0.946758407423
0.002,2.2475,92,5,5,2.62791438257
0.002,2.2475,93,5,5,1.07192249832
0.002,2.2475,94,5,5,2.1520152229
0.002,2.2475,95,5,5,3.5053176302999995
0.002,2.2475,96,5,5,2.1684089788599996
