Beta,Alpha,Average_EventInf
0.002,2.0,5.03
0.002,2.2475,5.01
0.002,2.495,5.04
0.002,2.7425,5.02
0.002,2.99,5.02
0.15615,2.0,1761.05
0.15615,2.2475,464.76
0.15615,2.495,57.22
0.15615,2.7425,9.01
0.15615,2.99,7.47
0.3103,2.0,3135.05
0.3103,2.2475,1458.78
0.3103,2.495,374.3
0.3103,2.7425,47.89
0.3103,2.99,11.86
0.46445,2.0,4093.48
0.46445,2.2475,2247.12
0.46445,2.495,942.71
0.46445,2.7425,135.03
0.46445,2.99,30.14
0.6186,2.0,4695.73
0.6186,2.2475,3014.8
0.6186,2.495,1311.66
0.6186,2.7425,327.55
0.6186,2.99,42.54
