Beta,Alpha,Average_EventInf
0.002,2.0,10.24
0.002,2.2475,10.04
0.002,2.495,10.03
0.002,2.7425,10.05
0.002,2.99,10.02
0.15615,2.0,2048.32
0.15615,2.2475,785.33
0.15615,2.495,90.88
0.15615,2.7425,22.85
0.15615,2.99,15.98
0.3103,2.0,3219.82
0.3103,2.2475,1828.65
0.3103,2.495,527.92
0.3103,2.7425,65.87
0.3103,2.99,24.76
0.46445,2.0,4075.97
0.46445,2.2475,2720.17
0.46445,2.495,1148.4
0.46445,2.7425,240.29
0.46445,2.99,44.75
0.6186,2.0,4771.98
0.6186,2.2475,3267.2
0.6186,2.495,1685.13
0.6186,2.7425,437.89
0.6186,2.99,72.62
