Beta,Alpha,Average_FinalTime
0.002,2.0,0.9415666881068296
0.002,2.2475,0.9293248120976237
0.002,2.495,1.180870567250061
0.002,2.7425,1.1768884574294094
0.002,2.99,0.8931759967921802
0.15615,2.0,3.9807603823035005
0.15615,2.2475,2.0671490717726284
0.15615,2.495,1.5095281384652228
0.15615,2.7425,1.2591755586176243
0.15615,2.99,1.1069162819369815
0.3103,2.0,6.660635965858785
0.3103,2.2475,4.2032362212954
0.3103,2.495,2.012009743917703
0.3103,2.7425,1.596156507210699
0.3103,2.99,1.3268406987579409
0.46445,2.0,8.227492299043082
0.46445,2.2475,5.153754869548955
0.46445,2.495,3.3621996756539487
0.46445,2.7425,2.337174051256626
0.46445,2.99,1.5324138834126768
0.6186,2.0,7.932944525798162
0.6186,2.2475,4.286095615246366
0.6186,2.495,4.136088147861186
0.6186,2.7425,3.3005996053253623
0.6186,2.99,1.5338167398128775
