Beta,Alpha,Average_MaxInf
0.002,2.0,5.02
0.002,2.2475,5.01
0.002,2.495,5.0
0.002,2.7425,5.01
0.002,2.99,5.01
0.15615,2.0,662.98
0.15615,2.2475,138.59
0.15615,2.495,18.25
0.15615,2.7425,6.01
0.15615,2.99,5.66
0.3103,2.0,1292.77
0.3103,2.2475,506.37
0.3103,2.495,102.51
0.3103,2.7425,16.96
0.3103,2.99,7.16
0.46445,2.0,1807.05
0.46445,2.2475,855.73
0.46445,2.495,282.79
0.46445,2.7425,38.82
0.46445,2.99,12.93
0.6186,2.0,2178.37
0.6186,2.2475,1222.71
0.6186,2.495,432.93
0.6186,2.7425,88.35
0.6186,2.99,16.53
