Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,10.0,0.0,0.0,10.0-10.0
0.002,2.2475,10.0,0.0,0.0,10.0-10.0
0.002,2.495,10.0,0.0,0.0,10.0-10.0
0.002,2.7425,10.0,0.0,0.0,10.0-10.0
0.002,2.99,10.0,0.0,0.0,10.0-10.0
0.15615,2.0,469.49,142435.6299000001,0.8038647294993319,395.52-543.46
0.15615,2.2475,139.72,23104.421599999998,1.0878999916674674,109.93-169.51
0.15615,2.495,21.7,888.5099999999998,1.3736352471383237,15.86-27.54
0.15615,2.7425,10.49,3.0898999999999988,0.1675701752991765,10.15-10.83
0.15615,2.99,10.24,0.44240000000000024,0.06495425448560896,10.11-10.37
0.3103,2.0,1123.48,234008.26959999997,0.43057643435522225,1028.67-1218.29
0.3103,2.2475,492.36,98391.51039999998,0.6370830502216268,430.88-553.84
0.3103,2.495,128.26,14287.432400000014,0.9319355068226151,104.83-151.69
0.3103,2.7425,19.64,296.3503999999999,0.8765188806169731,16.27-23.01
0.3103,2.99,12.67,23.781100000000006,0.3848924168269979,11.71-13.63
0.46445,2.0,1704.86,175227.96040000004,0.24553475909247457,1622.81-1786.91
0.46445,2.2475,844.73,144535.8771,0.45005947890967113,770.21-919.25
0.46445,2.495,301.17,33082.78110000001,0.6039337451065756,265.52-336.82
0.46445,2.7425,48.27,3135.8570999999993,1.1601144415290587,37.29-59.25
0.46445,2.99,19.09,139.30189999999996,0.618262052902891,16.78-21.4
0.6186,2.0,2191.29,78309.78589999999,0.12770507647235596,2136.44-2246.14
0.6186,2.2475,1265.16,100452.85440000003,0.2505161267230506,1203.04-1327.28
0.6186,2.495,498.41,49926.861899999974,0.4483120245123167,454.62-542.2
0.6186,2.7425,105.01,8957.989899999999,0.9013109052040611,86.46-123.56
0.6186,2.99,25.17,349.1211,0.7423433682298107,21.51-28.83
