Beta,Alpha,Average_FinalTime
0.002,2.0,3.126595587682831
0.002,2.2475,3.0979079955306905
0.002,2.495,2.8506564330143003
0.002,2.7425,2.8657129995116204
0.002,2.99,3.0442923605458
0.15615,2.0,8.215583235937302
0.15615,2.2475,7.305724489062802
0.15615,2.495,5.0545103222974
0.15615,2.7425,3.6988631943075383
0.15615,2.99,3.545766683884899
0.3103,2.0,9.6006969154716
0.3103,2.2475,9.22586842316
0.3103,2.495,8.645551678466203
0.3103,2.7425,5.604873489683073
0.3103,2.99,4.619144637800401
0.46445,2.0,10.410578771504802
0.46445,2.2475,9.96427927762068
0.46445,2.495,10.628660532475504
0.46445,2.7425,7.441929288705296
0.46445,2.99,5.9945325814844015
0.6186,2.0,10.236074970827099
0.6186,2.2475,10.327897722956296
0.6186,2.495,10.919380193810603
0.6186,2.7425,9.459010549842327
0.6186,2.99,6.212546701955002
