Beta,Alpha,Average_EventInf
0.002,2.0,10.05
0.002,2.2475,10.01
0.002,2.495,10.0
0.002,2.7425,10.03
0.002,2.99,10.0
0.15615,2.0,1236.66
0.15615,2.2475,456.67
0.15615,2.495,61.01
0.15615,2.7425,14.81
0.15615,2.99,13.31
0.3103,2.0,2712.58
0.3103,2.2475,1420.24
0.3103,2.495,469.03
0.3103,2.7425,57.95
0.3103,2.99,24.95
0.46445,2.0,3854.22
0.46445,2.2475,2232.55
0.46445,2.495,1022.99
0.46445,2.7425,172.55
0.46445,2.99,48.21
0.6186,2.0,4707.73
0.6186,2.2475,3106.92
0.6186,2.495,1528.75
0.6186,2.7425,389.11
0.6186,2.99,72.44
