Beta,Alpha,Average_MaxInf
0.002,2.0,10.0
0.002,2.2475,10.0
0.002,2.495,10.0
0.002,2.7425,10.0
0.002,2.99,10.0
0.15615,2.0,469.49
0.15615,2.2475,139.72
0.15615,2.495,21.7
0.15615,2.7425,10.49
0.15615,2.99,10.24
0.3103,2.0,1123.48
0.3103,2.2475,492.36
0.3103,2.495,128.26
0.3103,2.7425,19.64
0.3103,2.99,12.67
0.46445,2.0,1704.86
0.46445,2.2475,844.73
0.46445,2.495,301.17
0.46445,2.7425,48.27
0.46445,2.99,19.09
0.6186,2.0,2191.29
0.6186,2.2475,1265.16
0.6186,2.495,498.41
0.6186,2.7425,105.01
0.6186,2.99,25.17
