Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,5.01,0.009899999999999999,0.019860028684762873,4.99-5.03
0.002,2.2475,5.02,0.03959999999999998,0.03964093374926772,4.98-5.06
0.002,2.495,5.0,0.0,0.0,5.0-5.0
0.002,2.7425,5.01,0.009899999999999994,0.019860028684762866,4.99-5.03
0.002,2.99,5.01,0.009899999999999996,0.01986002868476287,4.99-5.03
0.15615,2.0,903.07,1064499.5451000016,1.1424871519866042,700.85-1105.29
0.15615,2.2475,318.93,248816.8451000001,1.5640279745466414,221.16-416.7
0.15615,2.495,28.92,6520.053599999997,2.792076378109417,13.09-44.75
0.15615,2.7425,8.42,55.023599999999945,0.8809726161668401,6.97-9.87
0.15615,2.99,6.62,11.235599999999994,0.5063375609714834,5.96-7.28
0.3103,2.0,2027.3,2491234.049999999,0.7785549050833911,1717.94-2336.66
0.3103,2.2475,1056.89,974121.9978999991,0.9338494915508213,863.44-1250.34
0.3103,2.495,251.54,158504.4683999999,1.582755015408721,173.51-329.57
0.3103,2.7425,19.74,2364.2724,2.4632109576276076,10.21-29.27
0.3103,2.99,12.64,197.4504000000002,1.1116854844097757,9.89-15.39
0.46445,2.0,3304.93,2366884.785100002,0.4655070831676629,3003.39-3606.47
0.46445,2.2475,1851.9,1578276.9100000008,0.6783816154354889,1605.67-2098.13
0.46445,2.495,689.39,462044.7579000001,0.9860002935720444,556.16-822.62
0.46445,2.7425,108.57,33402.4651,1.6833693738055924,72.75-144.39
0.46445,2.99,22.52,548.9496000000004,1.0403940272310643,17.93-27.11
0.6186,2.0,4082.95,2867111.2875,0.41471353884588597,3751.07-4414.83
0.6186,2.2475,2557.25,1896402.7675,0.5385079298613553,2287.34-2827.16
0.6186,2.495,1181.04,683936.3784,0.7002340826145912,1018.95-1343.13
0.6186,2.7425,215.53,94378.76910000003,1.4253759459241162,155.32-275.74
0.6186,2.99,42.42,2776.163599999998,1.2420865631582543,32.09-52.75
