Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.0,0,5,5,1.31184797557
0.002,2.0,1,5,5,3.25492010881
0.002,2.0,10,5,5,1.5051120851700002
0.002,2.0,11,5,5,1.68162401403
0.002,2.0,12,5,5,1.34536283004
0.002,2.0,13,5,5,3.3775850480000003
0.002,2.0,14,5,5,0.648929272006
0.002,2.0,15,5,5,3.6941997331199996
0.002,2.0,16,5,5,2.40203536775
0.002,2.0,17,5,5,2.65672146211
0.002,2.0,18,5,5,4.1112269036199995
0.002,2.0,19,5,5,1.92706793255
0.002,2.0,2,5,5,2.2884364439500002
0.002,2.0,20,5,5,2.12226361496
0.002,2.0,21,5,5,4.50323937744
0.002,2.0,22,5,5,1.24850640698
0.002,2.0,23,5,5,4.06356646056
0.002,2.0,24,5,5,3.2886194266500004
0.002,2.0,25,5,5,6.5786993802
0.002,2.0,26,5,5,1.1500764694399999
0.002,2.0,27,5,5,2.9680473638700002
0.002,2.0,28,5,5,0.9753045764730001
0.002,2.0,29,5,5,4.21386467734
0.002,2.0,3,5,5,2.02397802433
0.002,2.0,30,5,5,0.676465994979
0.002,2.0,31,5,5,2.30627782356
0.002,2.0,32,5,5,2.1957279591599996
0.002,2.0,33,5,5,2.14370996661
0.002,2.0,34,5,5,1.9219467542700002
0.002,2.0,35,5,5,4.11108776638
0.002,2.0,36,5,5,1.67579666316
0.002,2.0,37,5,5,1.07351896348
0.002,2.0,38,5,5,1.19476202922
0.002,2.0,39,5,5,2.04040714911
0.002,2.0,4,5,5,3.05190721518
0.002,2.0,40,5,5,3.0357519890599995
0.002,2.0,41,5,5,2.1074170885799997
0.002,2.0,42,5,5,2.26669889103
0.002,2.0,43,5,5,2.5135060728400003
0.002,2.0,44,5,5,0.736493650817
0.002,2.0,45,5,5,2.1212613933
0.002,2.0,46,5,5,2.3695024810099996
0.002,2.0,47,5,5,1.5965800221899997
0.002,2.0,48,5,5,1.6577107047400002
0.002,2.0,49,5,5,4.193789274369999
0.002,2.0,5,5,5,3.11128843908
0.002,2.0,50,5,5,0.7831170548659999
0.002,2.0,51,5,5,1.3541616938299998
0.002,2.0,52,5,5,2.01566750796
0.002,2.0,53,5,5,2.20079553266
0.002,2.0,54,5,5,2.48054362232
0.002,2.0,55,5,5,2.37748757377
0.002,2.0,56,5,5,2.00462807506
0.002,2.0,57,5,5,2.68696806427
0.002,2.0,58,5,5,1.97984742656
0.002,2.0,59,5,5,4.85431224
0.002,2.0,6,5,5,1.5407417042700002
0.002,2.0,60,5,5,0.748841639939
0.002,2.0,61,5,5,1.4650236078299999
0.002,2.0,62,5,5,3.7195808173900002
0.002,2.0,63,5,5,1.8357004934099999
0.002,2.0,64,5,5,4.99609316187
0.002,2.0,65,5,5,1.7075918143200002
0.002,2.0,66,5,5,1.6747139202599999
0.002,2.0,67,5,5,2.6149532961
0.002,2.0,68,5,5,1.65077893508
0.002,2.0,69,5,5,3.50182945666
0.002,2.0,7,5,5,2.92448178324
0.002,2.0,70,5,5,3.3048629609900004
0.002,2.0,71,5,5,1.5759563509799999
0.002,2.0,72,5,5,3.04808775248
0.002,2.0,73,5,5,0.832282944876
0.002,2.0,74,5,5,2.55211617966
0.002,2.0,75,5,6,4.43762913096
0.002,2.0,76,5,5,2.81386245467
0.002,2.0,77,5,5,0.8603475042409999
0.002,2.0,78,5,5,0.802422574676
0.002,2.0,79,5,5,0.45963799172200004
0.002,2.0,8,5,5,1.97521022531
0.002,2.0,80,5,5,0.816942939521
0.002,2.0,81,5,5,0.926447044613
0.002,2.0,82,5,5,2.37066454638
0.002,2.0,83,5,5,2.94743095328
0.002,2.0,84,5,5,0.771083853641
0.002,2.0,85,5,5,2.81262865091
0.002,2.0,86,5,5,2.83112561075
0.002,2.0,87,5,5,2.10502395555
0.002,2.0,88,5,5,4.32685765827
0.002,2.0,89,5,5,1.61540728192
0.002,2.0,9,5,5,1.7467735695599997
0.002,2.0,90,5,5,3.28111850847
0.002,2.0,91,5,5,2.60519313119
0.002,2.0,92,5,5,2.1378324663
0.002,2.0,93,5,5,2.65960441233
0.002,2.0,94,5,5,2.12122731002
0.002,2.0,95,5,5,1.93811924195
0.002,2.0,96,5,5,1.15321460604
0.002,2.0,97,5,5,1.34455370058
0.002,2.0,98,5,5,2.81453990447
0.002,2.0,99,5,5,1.6720839344100002
0.002,2.2475,0,5,5,0.28501014294
0.002,2.2475,1,5,5,2.1363018541799996
0.002,2.2475,10,5,5,2.14897522503
0.002,2.2475,11,5,5,1.27750464777
0.002,2.2475,12,5,5,3.26685178706
0.002,2.2475,13,5,5,4.54336646366
0.002,2.2475,14,5,5,6.37383090358
0.002,2.2475,15,5,5,3.8356569909199996
0.002,2.2475,16,5,5,3.0941309795599996
0.002,2.2475,17,5,5,1.11181340369
0.002,2.2475,18,5,5,1.2506482292799999
0.002,2.2475,19,5,5,1.11597015994
0.002,2.2475,2,5,5,4.48627218574
0.002,2.2475,20,5,5,2.64578802472
0.002,2.2475,21,5,5,0.859810983215
0.002,2.2475,22,5,5,1.03273613489
0.002,2.2475,23,5,5,1.59491576593
0.002,2.2475,24,5,5,1.62137412385
0.002,2.2475,25,5,5,2.51201550025
0.002,2.2475,26,5,5,1.92026099838
0.002,2.2475,27,5,5,0.812471065494
0.002,2.2475,28,5,5,1.5772968070200002
0.002,2.2475,29,5,5,1.96261085457
0.002,2.2475,3,5,5,0.522260512827
0.002,2.2475,30,5,5,3.06835820545
0.002,2.2475,31,5,5,3.6215171744699997
0.002,2.2475,32,5,5,1.8049673489099998
0.002,2.2475,33,5,5,1.01752702256
0.002,2.2475,34,5,5,2.27264482004
0.002,2.2475,35,5,5,2.7045991695
0.002,2.2475,36,5,5,2.62866369072
0.002,2.2475,37,5,5,3.7049681576899998
0.002,2.2475,38,5,5,3.5519830682699998
0.002,2.2475,39,5,5,2.76131975976
0.002,2.2475,4,5,5,1.3280180025
0.002,2.2475,40,5,5,1.5028895658
0.002,2.2475,41,5,5,5.9872561075699995
0.002,2.2475,42,5,7,2.5902075780400002
0.002,2.2475,43,5,5,2.21003588531
0.002,2.2475,44,5,5,0.9350794184260001
0.002,2.2475,45,5,5,2.8344796909
0.002,2.2475,46,5,5,1.34002621854
0.002,2.2475,47,5,5,2.40972750307
0.002,2.2475,48,5,5,1.6855316495700001
0.002,2.2475,49,5,5,3.3515440028400003
0.002,2.2475,5,5,5,2.47130488709
0.002,2.2475,50,5,5,1.5931436251299997
0.002,2.2475,51,5,5,1.4037885488600002
0.002,2.2475,52,5,5,7.931340823769999
0.002,2.2475,53,5,5,1.7222108263299998
0.002,2.2475,54,5,5,4.12078123155
0.002,2.2475,55,5,5,2.9978641556299994
0.002,2.2475,56,5,5,4.52627425255
0.002,2.2475,57,5,5,1.69776207021
0.002,2.2475,58,5,5,2.51772094604
0.002,2.2475,59,5,5,1.77421209034
0.002,2.2475,6,5,5,1.27571246383
0.002,2.2475,60,5,5,2.9160874695300003
0.002,2.2475,61,5,5,2.9006296921099994
0.002,2.2475,62,5,5,2.19011371179
0.002,2.2475,63,5,5,1.42485468121
0.002,2.2475,64,5,5,1.51574231176
0.002,2.2475,65,5,5,3.7537892801
0.002,2.2475,66,5,5,1.35547517359
0.002,2.2475,67,5,5,1.77900289575
0.002,2.2475,68,5,5,1.19957227184
0.002,2.2475,69,5,5,3.80090841516
0.002,2.2475,7,5,5,1.3297003072600002
0.002,2.2475,70,5,5,1.55452609072
0.002,2.2475,71,5,5,0.838774628129
0.002,2.2475,72,5,5,2.56540322334
0.002,2.2475,73,5,5,8.04047291296
0.002,2.2475,74,5,5,2.40823960127
0.002,2.2475,75,5,5,2.88081493871
0.002,2.2475,76,5,5,1.67241844211
0.002,2.2475,77,5,5,2.67973212686
0.002,2.2475,78,5,5,5.20600908882
0.002,2.2475,79,5,5,4.837279627219999
0.002,2.2475,8,5,5,2.3587386578
0.002,2.2475,80,5,5,1.24831645144
0.002,2.2475,81,5,5,1.3975665100499999
0.002,2.2475,82,5,5,2.23695497987
0.002,2.2475,83,5,5,1.96057430912
0.002,2.2475,84,5,5,1.40086589169
0.002,2.2475,85,5,5,3.14472564501
0.002,2.2475,86,5,5,1.238416282
0.002,2.2475,87,5,5,2.26608143901
0.002,2.2475,88,5,5,4.01895233005
0.002,2.2475,89,5,5,3.84825271981
0.002,2.2475,9,5,5,2.10500869146
0.002,2.2475,90,5,5,3.51092226449
0.002,2.2475,91,5,5,1.71374375756
0.002,2.2475,92,5,5,1.76522046274
0.002,2.2475,93,5,5,4.56910908402
0.002,2.2475,94,5,5,2.6856990176599997
0.002,2.2475,95,5,5,1.40961600003
0.002,2.2475,96,5,5,2.11717454713
0.002,2.2475,97,5,5,0.853739241636
0.002,2.2475,98,5,5,1.4191248844600002
0.002,2.2475,99,5,5,3.2785895120200004
0.002,2.495,0,5,5,3.3354094856
0.002,2.495,1,5,5,2.00942755992
0.002,2.495,10,5,5,2.3417000695900003
0.002,2.495,11,5,5,2.9975895921499998
0.002,2.495,12,5,5,2.00658140531
0.002,2.495,13,5,5,2.5992967079900002
0.002,2.495,14,5,5,1.81466499612
0.002,2.495,15,5,5,3.64584271706
0.002,2.495,16,5,5,1.26002399849
0.002,2.495,17,5,5,3.1779625117699997
0.002,2.495,18,5,5,4.40803506383
0.002,2.495,19,5,5,2.4411846977400002
0.002,2.495,2,5,5,2.0227596710199998
0.002,2.495,20,5,5,2.0868049387
0.002,2.495,21,5,5,1.7330697383700002
0.002,2.495,22,5,5,3.29444999818
0.002,2.495,23,5,5,2.30345987256
0.002,2.495,24,5,5,2.59627077598
0.002,2.495,25,5,5,4.94340771404
0.002,2.495,26,5,5,3.13902464351
0.002,2.495,27,5,5,1.47347763778
0.002,2.495,28,5,5,1.0418988728899998
0.002,2.495,29,5,5,3.20138126021
0.002,2.495,3,5,5,3.20700051286
0.002,2.495,30,5,5,2.7039343008700003
0.002,2.495,31,5,5,2.8829679714200003
0.002,2.495,32,5,5,1.27766931461
0.002,2.495,33,5,5,1.6830813487399998
0.002,2.495,34,5,5,0.757705853747
0.002,2.495,35,5,5,2.12074038831
0.002,2.495,36,5,5,1.25967356553
0.002,2.495,37,5,5,1.6519480741400001
0.002,2.495,38,5,5,3.33740935805
0.002,2.495,39,5,5,1.04280404991
0.002,2.495,4,5,5,0.911599758987
0.002,2.495,40,5,5,6.174928621169999
0.002,2.495,41,5,5,1.38682057816
0.002,2.495,42,5,5,0.985534104128
0.002,2.495,43,5,5,1.09532266911
0.002,2.495,44,5,5,1.91186286662
0.002,2.495,45,5,5,1.94369479148
0.002,2.495,46,5,5,4.205512841619999
0.002,2.495,47,5,5,2.66833233313
0.002,2.495,48,5,5,1.6356658434
0.002,2.495,49,5,5,0.9882193166700001
0.002,2.495,5,5,5,2.21254635812
0.002,2.495,50,5,5,2.03920922684
0.002,2.495,51,5,5,2.5047402670900003
0.002,2.495,52,5,5,3.96934839144
0.002,2.495,53,5,5,0.878259990031
0.002,2.495,54,5,5,2.8568401381200004
0.002,2.495,55,5,5,3.27721647041
0.002,2.495,56,5,5,1.1990890511499999
0.002,2.495,57,5,5,1.55022408863
0.002,2.495,58,5,5,1.9281228859200001
0.002,2.495,59,5,5,3.16097290444
0.002,2.495,6,5,5,2.70437460106
0.002,2.495,60,5,5,1.32984223653
0.002,2.495,61,5,5,2.39236686228
0.002,2.495,62,5,5,1.934666629
0.002,2.495,63,5,5,6.8257917009
0.002,2.495,64,5,5,3.98238525266
0.002,2.495,65,5,5,1.97844469662
0.002,2.495,66,5,5,1.1852908905500001
0.002,2.495,67,5,5,1.90437382289
0.002,2.495,68,5,5,3.34670787244
0.002,2.495,69,5,5,1.42390457243
0.002,2.495,7,5,5,3.32193157671
0.002,2.495,70,5,5,2.56472482682
0.002,2.495,71,5,5,5.86318814594
0.002,2.495,72,5,5,1.6064204532600002
0.002,2.495,73,5,5,1.03503839514
0.002,2.495,74,5,5,1.0168489569399999
0.002,2.495,75,5,5,1.22703336054
