Beta,Alpha,Average_EventInf
0.002,2.0,1.0
0.002,2.2475,1.04
0.002,2.495,1.0
0.002,2.7425,1.0
0.002,2.99,1.0
0.15615,2.0,121.95
0.15615,2.2475,90.45
0.15615,2.495,9.87
0.15615,2.7425,1.78
0.15615,2.99,1.31
0.3103,2.0,397.54
0.3103,2.2475,236.18
0.3103,2.495,100.57
0.3103,2.7425,15.1
0.3103,2.99,1.68
0.46445,2.0,1355.28
0.46445,2.2475,497.54
0.46445,2.495,183.91
0.46445,2.7425,11.5
0.46445,2.99,4.36
0.6186,2.0,1582.28
0.6186,2.2475,794.52
0.6186,2.495,266.33
0.6186,2.7425,44.16
0.6186,2.99,12.51
