Beta,Alpha,Average_MaxInf
0.002,2.0,5.0
0.002,2.2475,5.0
0.002,2.495,5.0
0.002,2.7425,5.0
0.002,2.99,5.0
0.15615,2.0,336.09
0.15615,2.2475,94.57
0.15615,2.495,11.44
0.15615,2.7425,6.03
0.15615,2.99,5.34
0.3103,2.0,833.31
0.3103,2.2475,372.65
0.3103,2.495,68.28
0.3103,2.7425,8.74
0.3103,2.99,7.38
0.46445,2.0,1479.29
0.46445,2.2475,702.55
0.46445,2.495,205.64
0.46445,2.7425,30.98
0.46445,2.99,10.59
0.6186,2.0,1905.64
0.6186,2.2475,1038.02
0.6186,2.495,385.56
0.6186,2.7425,57.87
0.6186,2.99,16.54
