Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,2.91613099683031,1.3493134783060572,0.39833585516471404,2.69-3.14
0.002,2.2475,3.0226130026961107,1.5961385789229552,0.41797735277430925,2.77-3.27
0.002,2.495,2.8559291097502104,1.4323746797662653,0.4190645215418152,2.62-3.09
0.002,2.7425,2.7468963668964705,1.1355657665070977,0.3879393830696979,2.54-2.96
0.002,2.99,3.194079767385211,2.1103135476539774,0.4548076234698502,2.91-3.48
0.15615,2.0,10.209158007766302,10.657267076778577,0.3197665264491518,9.57-10.85
0.15615,2.2475,8.20499686646578,27.294747044724808,0.6367385108109567,7.18-9.23
0.15615,2.495,5.552300016405189,16.116092143321733,0.7230310462512103,4.77-6.34
0.15615,2.7425,3.7729795865155094,3.1510381066723196,0.470481306235169,3.43-4.12
0.15615,2.99,3.667336474574201,2.670348663005999,0.4455877339945974,3.35-3.99
0.3103,2.0,10.457141956746002,3.5089268988048157,0.17913240499680252,10.09-10.82
0.3103,2.2475,10.488584896310599,10.641590911688738,0.31101861422011096,9.85-11.13
0.3103,2.495,10.5410394445349,28.21253796427235,0.5038922046856524,9.5-11.58
0.3103,2.7425,6.5237708580395,12.192878536899784,0.5352472261840787,5.84-7.21
0.3103,2.99,4.9792135058738,5.146589635149178,0.4556160572984147,4.53-5.42
0.46445,2.0,10.452745926381102,2.198280225535565,0.14184405310015052,10.16-10.74
0.46445,2.2475,10.589684172517702,4.280451213896788,0.19537175058417555,10.18-11.0
0.46445,2.495,11.3656120677753,15.699835393914158,0.3486219445231092,10.59-12.14
0.46445,2.7425,7.749942750996798,17.58591293991657,0.5411080127596389,6.93-8.57
0.46445,2.99,6.326051762513202,7.824054307424895,0.44216380304557096,5.78-6.87
0.6186,2.0,10.470419939335896,1.6359212085187909,0.1221566434752054,10.22-10.72
0.6186,2.2475,10.5557094923739,2.5823079729849807,0.15223572812326833,10.24-10.87
0.6186,2.495,11.084077955758396,5.906924911757363,0.2192709779286496,10.61-11.56
0.6186,2.7425,10.3603848311682,14.016614872016316,0.36136466406433554,9.63-11.09
0.6186,2.99,6.913191086280397,7.7306834932519735,0.4021891822736334,6.37-7.46
