Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,10.01,0.009899999999999994,0.009939934436629567,9.99-10.03
0.002,2.2475,10.01,0.009899999999999994,0.009939934436629567,9.99-10.03
0.002,2.495,10.0,0.0,0.0,10.0-10.0
0.002,2.7425,10.01,0.009899999999999996,0.009939934436629569,9.99-10.03
0.002,2.99,10.03,0.029100000000000032,0.017007699012195406,10.0-10.06
0.15615,2.0,675.28,73198.92159999999,0.4006530509144162,622.25-728.31
0.15615,2.2475,164.53,24971.709099999967,0.9604594542208182,133.56-195.5
0.15615,2.495,25.04,1135.9584000000002,1.3460056693527687,18.43-31.65
0.15615,2.7425,11.16,6.054400000000004,0.22048109676314986,10.68-11.64
0.15615,2.99,10.65,2.4075000000000064,0.14569127370124807,10.35-10.95
0.3103,2.0,1301.38,67787.4556,0.20006473280098108,1250.35-1352.41
0.3103,2.2475,599.15,60048.46749999999,0.40899255307850235,551.12-647.18
0.3103,2.495,147.32,12346.897600000002,0.7542532895753845,125.54-169.1
0.3103,2.7425,26.36,634.3304,0.9554596623526586,21.42-31.3
0.3103,2.99,13.76,36.12240000000001,0.43678716167934273,12.58-14.94
0.46445,2.0,1815.51,60937.34990000002,0.13597001211896304,1767.13-1863.89
0.46445,2.2475,951.09,61395.94189999998,0.26052428808271527,902.52-999.66
0.46445,2.495,319.78,24498.771599999996,0.48946411406571994,289.1-350.46
0.46445,2.7425,53.07,2602.6851000000006,0.9613061600399287,43.07-63.07
0.46445,2.99,22.31,250.4338999999999,0.7093278115273478,19.21-25.41
0.6186,2.0,2196.85,36318.30749999998,0.0867485843384448,2159.5-2234.2
0.6186,2.2475,1287.03,48220.849099999985,0.17061953597938773,1243.99-1330.07
0.6186,2.495,531.73,34791.17709999999,0.3507869251471754,495.17-568.29
0.6186,2.7425,120.03,7026.7291,0.6983719685276505,103.6-136.46
0.6186,2.99,33.03,581.8290999999997,0.7302795606149667,28.3-37.76
