Beta,Alpha,Average_EventInf
0.002,2.0,1.0
0.002,2.2475,1.06
0.002,2.495,1.0
0.002,2.7425,1.01
0.002,2.99,1.01
0.15615,2.0,358.6
0.15615,2.2475,129.51
0.15615,2.495,9.26
0.15615,2.7425,4.1
0.15615,2.99,1.7
0.3103,2.0,805.46
0.3103,2.2475,364.4
0.3103,2.495,54.55
0.3103,2.7425,12.38
0.3103,2.99,3.01
0.46445,2.0,1662.3
0.46445,2.2475,405.22
0.46445,2.495,114.62
0.46445,2.7425,30.24
0.46445,2.99,6.05
0.6186,2.0,1879.73
0.6186,2.2475,1190.32
0.6186,2.495,419.09
0.6186,2.7425,47.02
0.6186,2.99,11.53
