Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,5.1,0.4099999999999988,0.12555145563593803,4.97-5.23
0.002,2.2475,5.07,0.08509999999999984,0.057538272764555455,5.01-5.13
0.002,2.495,5.02,0.01959999999999998,0.02788844621513943,4.99-5.05
0.002,2.7425,5.01,0.009899999999999999,0.019860028684762873,4.99-5.03
0.002,2.99,5.03,0.029100000000000077,0.03391396045572963,5.0-5.06
0.15615,2.0,1429.57,954845.1051,0.6835354406888848,1238.05-1621.09
0.15615,2.2475,331.52,237128.5896,1.468866159252865,236.08-426.96
0.15615,2.495,41.96,10821.938400000001,2.4792313175003193,21.57-62.35
0.15615,2.7425,11.83,355.4811,1.5937621662902843,8.13-15.53
0.15615,2.99,8.0,30.96,0.6955213871621778,6.91-9.09
0.3103,2.0,2709.22,1488766.8915999997,0.450369610494786,2470.07-2948.37
0.3103,2.2475,1223.06,931067.0164,0.7889376970388711,1033.94-1412.18
0.3103,2.495,326.54,177576.32839999997,1.2904944694913136,243.95-409.13
0.3103,2.7425,39.24,7736.4824000000035,2.2415207949128866,22.0-56.48
0.3103,2.99,13.74,217.29239999999984,1.0728414282604977,10.85-16.63
0.46445,2.0,3825.88,1274219.3856,0.29504669887021834,3604.63-4047.13
0.46445,2.2475,2134.98,1182145.4196000001,0.5092624334097994,1921.88-2348.08
0.46445,2.495,785.15,425494.62750000006,0.8307960162788179,657.3-913.0
0.46445,2.7425,115.89,33481.49790000002,1.578906733203376,80.03-151.75
0.46445,2.99,25.92,1275.3736,1.3777921761549081,18.92-32.92
0.6186,2.0,4596.21,1038737.7659000006,0.2217446229927058,4396.45-4795.97
0.6186,2.2475,2703.04,1450927.8984000005,0.44562591937185425,2466.95-2939.13
0.6186,2.495,1303.96,660422.3783999998,0.623227518344998,1144.68-1463.24
0.6186,2.7425,285.67,107382.98109999999,1.147104790407473,221.44-349.9
0.6186,2.99,46.21,3952.645899999999,1.3605295731709097,33.89-58.53
