Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.0,0,5,5,2.8801107172400005
0.002,2.0,1,5,5,2.9079675899799997
0.002,2.0,10,5,5,1.47952099289
0.002,2.0,11,5,5,2.33531961538
0.002,2.0,12,5,5,2.26055190855
0.002,2.0,13,5,5,0.740280983704
0.002,2.0,14,5,5,2.27583182
0.002,2.0,15,5,5,2.0134050057599997
0.002,2.0,16,5,5,1.52864738851
0.002,2.0,17,5,5,2.68002070717
0.002,2.0,18,5,5,1.93167889515
0.002,2.0,19,5,5,1.84225470624
0.002,2.0,2,5,5,1.55447781979
0.002,2.0,20,5,5,2.17217846828
0.002,2.0,21,5,5,4.339750249030001
0.002,2.0,22,5,5,1.05325770027
0.002,2.0,23,5,5,1.70026192405
0.002,2.0,24,5,5,1.5124980835
0.002,2.0,25,5,5,1.1162833345799998
0.002,2.0,26,5,5,2.4975225411200004
0.002,2.0,27,5,5,4.39472695078
0.002,2.0,28,5,5,3.02980454051
0.002,2.0,29,5,5,1.56068865426
0.002,2.0,3,5,5,4.26607677758
0.002,2.0,30,5,5,2.9536057815900003
0.002,2.0,31,5,10,7.38173708733
0.002,2.0,32,5,5,3.10421998888
0.002,2.0,33,5,5,1.72275425896
0.002,2.0,34,5,5,2.04642206531
0.002,2.0,35,5,5,1.9370658756
0.002,2.0,36,6,9,5.07916123337
0.002,2.0,37,5,5,1.6032342365999999
0.002,2.0,38,5,5,2.95625933799
0.002,2.0,39,5,5,3.5862578707300004
0.002,2.0,4,5,5,4.169581010930001
0.002,2.0,40,5,5,1.1407196662299999
0.002,2.0,41,5,5,3.10457510267
0.002,2.0,42,5,5,1.85599880938
0.002,2.0,43,5,5,1.8162173072099999
0.002,2.0,44,5,5,2.45960218381
0.002,2.0,45,5,5,2.14770490102
0.002,2.0,46,5,5,1.3876205588
0.002,2.0,47,5,5,2.5304009500599998
0.002,2.0,48,5,5,1.88623382713
0.002,2.0,49,5,5,2.61896123383
0.002,2.0,5,5,5,2.5080692343
0.002,2.0,50,5,5,1.6455771075299999
0.002,2.0,51,5,5,3.53973575371
0.002,2.0,52,5,5,0.8724921760359999
0.002,2.0,53,5,5,1.32801615166
0.002,2.0,54,6,6,2.27039929249
0.002,2.0,55,5,5,1.0195590716399998
0.002,2.0,56,5,5,2.50241928295
0.002,2.0,57,5,5,1.7899980867299998
0.002,2.0,58,5,5,2.81785871431
0.002,2.0,59,5,5,1.5644502102200002
0.002,2.0,6,5,5,3.2170991856299995
0.002,2.0,60,5,5,2.2798131616
0.002,2.0,61,5,5,2.81641401799
0.002,2.0,62,5,5,0.8330917205149999
0.002,2.0,63,5,5,3.0648273206700005
0.002,2.0,64,5,5,2.14204081917
0.002,2.0,65,5,5,0.9039668109350001
