Beta,Alpha,Average_MaxInf
0.002,2.0,5.02
0.002,2.2475,5.02
0.002,2.495,5.0
0.002,2.7425,5.0
0.002,2.99,5.02
0.15615,2.0,535.58
0.15615,2.2475,101.14
0.15615,2.495,14.61
0.15615,2.7425,6.97
0.15615,2.99,5.81
0.3103,2.0,1123.97
0.3103,2.2475,423.22
0.3103,2.495,89.77
0.3103,2.7425,14.36
0.3103,2.99,7.57
0.46445,2.0,1686.13
0.46445,2.2475,806.56
0.46445,2.495,233.23
0.46445,2.7425,32.44
0.46445,2.99,11.04
0.6186,2.0,2131.08
0.6186,2.2475,1097.29
0.6186,2.495,432.66
0.6186,2.7425,77.7
0.6186,2.99,18.96
