Beta,Alpha,Average_EventInf
0.002,2.0,10.15
0.002,2.2475,10.05
0.002,2.495,10.03
0.002,2.7425,10.04
0.002,2.99,10.06
0.15615,2.0,1797.84
0.15615,2.2475,548.61
0.15615,2.495,74.78
0.15615,2.7425,16.6
0.15615,2.99,15.49
0.3103,2.0,3139.65
0.3103,2.2475,1728.16
0.3103,2.495,566.49
0.3103,2.7425,80.52
0.3103,2.99,29.21
0.46445,2.0,4099.63
0.46445,2.2475,2510.58
0.46445,2.495,1093.1
0.46445,2.7425,192.15
0.46445,2.99,60.55
0.6186,2.0,4716.8
0.6186,2.2475,3173.73
0.6186,2.495,1615.92
0.6186,2.7425,439.91
0.6186,2.99,95.48
