Beta,Alpha,Average_FinalTime
0.002,2.0,2.2427020500698798
0.002,2.2475,2.2944820743981493
0.002,2.495,2.1426646786227503
0.002,2.7425,2.19590721275713
0.002,2.99,2.5282823953997395
0.15615,2.0,8.250458731680219
0.15615,2.2475,5.892672329181574
0.15615,2.495,4.14959244837732
0.15615,2.7425,3.4407310764473102
0.15615,2.99,2.8518012323398194
0.3103,2.0,9.292632047440486
0.3103,2.2475,8.159780409979469
0.3103,2.495,6.862177600177379
0.3103,2.7425,4.26838089202065
0.3103,2.99,3.679256633799348
0.46445,2.0,10.122829583755266
0.46445,2.2475,9.360441796506581
0.46445,2.495,9.122667018992804
0.46445,2.7425,6.291272671755223
0.46445,2.99,4.525868804673189
0.6186,2.0,10.01969729214345
0.6186,2.2475,9.366234777107588
0.6186,2.495,9.31565226409215
0.6186,2.7425,7.799237642853979
0.6186,2.99,5.0131998788770895
