Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,4.28,10.222,0.747,3.65-4.91
0.002,2.11,3.26,9.852,0.963,2.64-3.88
0.002,2.22,2.44,5.086,0.924,2.0-2.88
0.002,2.33,1.94,1.936,0.717,1.67-2.21
0.002,2.44,1.71,0.966,0.575,1.52-1.9
0.002,2.5500000000000003,1.38,0.536,0.53,1.24-1.52
0.002,2.66,1.35,0.548,0.548,1.2-1.5
0.002,2.7700000000000005,1.18,0.188,0.367,1.1-1.26
0.002,2.8800000000000003,1.15,0.148,0.334,1.07-1.23
0.002,2.99,1.2,0.2,0.373,1.11-1.29
0.071,2.0,1000.3,49680.93,0.223,956.61-1043.99
0.071,2.11,622.28,72336.202,0.432,569.57-674.99
0.071,2.22,315.42,48873.844,0.701,272.09-358.75
0.071,2.33,139.35,15596.268,0.896,114.87-163.83
0.071,2.44,50.5,4531.83,1.333,37.31-63.69
0.071,2.5500000000000003,22.8,1057.42,1.426,16.43-29.17
0.071,2.66,14.93,334.365,1.225,11.35-18.51
0.071,2.7700000000000005,10.71,114.186,0.998,8.62-12.8
0.071,2.8800000000000003,8.46,90.028,1.122,6.6-10.32
0.071,2.99,5.5,27.93,0.961,4.46-6.54
0.139,2.0,1875.98,116300.46,0.182,1809.14-1942.82
0.139,2.11,1345.75,98774.167,0.234,1284.15-1407.35
0.139,2.22,945.86,63676.86,0.267,896.4-995.32
0.139,2.33,555.77,61740.397,0.447,507.07-604.47
0.139,2.44,238.93,37128.205,0.806,201.16-276.7
0.139,2.5500000000000003,67.5,7310.39,1.267,50.74-84.26
0.139,2.66,35.21,1741.086,1.185,27.03-43.39
0.139,2.7700000000000005,22.68,580.678,1.062,17.96-27.4
0.139,2.8800000000000003,14.6,379.34,1.334,10.78-18.42
0.139,2.99,12.69,190.874,1.089,9.98-15.4
0.208,2.0,2489.15,78753.887,0.113,2434.15-2544.15
0.208,2.11,1922.17,121135.281,0.181,1853.95-1990.39
0.208,2.22,1382.23,149836.037,0.28,1306.36-1458.1
0.208,2.33,926.37,110701.833,0.359,861.16-991.58
0.208,2.44,527.0,83766.0,0.549,470.27-583.73
0.208,2.5500000000000003,222.24,38829.262,0.887,183.62-260.86
0.208,2.66,83.03,8649.089,1.12,64.8-101.26
0.208,2.7700000000000005,59.98,3585.26,0.998,48.24-71.72
0.208,2.8800000000000003,24.51,740.97,1.111,19.17-29.85
0.208,2.99,16.38,259.256,0.983,13.22-19.54
0.276,2.0,3037.81,114168.694,0.111,2971.58-3104.04
0.276,2.11,2430.38,128031.736,0.147,2360.25-2500.51
0.276,2.22,1853.04,153288.358,0.211,1776.3-1929.78
0.276,2.33,1280.32,137571.298,0.29,1207.62-1353.02
0.276,2.44,837.13,109510.313,0.395,772.27-901.99
0.276,2.5500000000000003,429.66,63130.864,0.585,380.41-478.91
0.276,2.66,169.36,24830.95,0.93,138.47-200.25
0.276,2.7700000000000005,75.6,6881.32,1.097,59.34-91.86
0.276,2.8800000000000003,35.59,1277.702,1.004,28.58-42.6
0.276,2.99,27.82,917.788,1.089,21.88-33.76
0.345,2.0,3430.56,110683.546,0.097,3365.35-3495.77
0.345,2.11,2887.07,68254.365,0.09,2835.86-2938.28
0.345,2.22,2207.57,101358.385,0.144,2145.17-2269.97
0.345,2.33,1637.7,154535.59,0.24,1560.65-1714.75
0.345,2.44,1069.11,117287.658,0.32,1001.99-1136.23
0.345,2.5500000000000003,597.53,122627.849,0.586,528.89-666.17
0.345,2.66,272.07,50652.685,0.827,227.96-316.18
0.345,2.7700000000000005,105.83,11413.581,1.009,84.89-126.77
0.345,2.8800000000000003,63.33,3937.421,0.991,51.03-75.63
0.345,2.99,33.47,1326.949,1.088,26.33-40.61
0.413,2.0,3791.48,116482.43,0.09,3724.59-3858.37
0.413,2.11,3162.65,283013.428,0.168,3058.38-3266.92
0.413,2.22,2546.85,127980.288,0.14,2476.73-2616.97
0.413,2.33,1864.34,269764.564,0.279,1762.54-1966.14
0.413,2.44,1417.29,106743.106,0.231,1353.25-1481.33
0.413,2.5500000000000003,795.17,120912.121,0.437,727.02-863.32
0.413,2.66,345.58,73085.044,0.782,292.59-398.57
0.413,2.7700000000000005,139.58,22541.864,1.076,110.15-169.01
0.413,2.8800000000000003,74.12,6284.646,1.07,58.58-89.66
0.413,2.99,38.89,1869.878,1.112,30.41-47.37
0.482,2.0,4103.84,317568.034,0.137,3993.39-4214.29
0.482,2.11,3533.11,91226.598,0.085,3473.91-3592.31
0.482,2.22,2875.31,166962.834,0.142,2795.22-2955.4
0.482,2.33,2174.23,190325.017,0.201,2088.72-2259.74
0.482,2.44,1562.14,187549.56,0.277,1477.26-1647.02
0.482,2.5500000000000003,1073.03,65138.009,0.238,1023.01-1123.05
0.482,2.66,564.99,118320.73,0.609,497.57-632.41
0.482,2.7700000000000005,214.64,39084.61,0.921,175.89-253.39
