Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,2.028,2.713,0.812,1.7-2.35
0.002,2.11,1.628,2.707,1.011,1.31-1.95
0.002,2.22,1.415,2.139,1.033,1.13-1.7
0.002,2.33,1.547,2.22,0.963,1.25-1.84
0.002,2.44,1.186,1.627,1.076,0.94-1.44
0.002,2.5500000000000003,1.08,1.283,1.049,0.86-1.3
0.002,2.66,0.947,1.073,1.094,0.74-1.15
0.002,2.7700000000000005,1.057,1.59,1.193,0.81-1.3
0.002,2.8800000000000003,1.033,0.812,0.872,0.86-1.21
0.002,2.99,1.165,1.271,0.968,0.94-1.39
0.071,2.0,11.088,6.898,0.237,10.57-11.6
0.071,2.11,10.614,13.504,0.346,9.89-11.33
0.071,2.22,9.69,18.348,0.442,8.85-10.53
0.071,2.33,7.804,20.19,0.576,6.92-8.68
0.071,2.44,4.916,11.559,0.692,4.25-5.58
0.071,2.5500000000000003,3.946,8.935,0.758,3.36-4.53
0.071,2.66,3.588,6.052,0.686,3.11-4.07
0.071,2.7700000000000005,2.962,4.991,0.754,2.52-3.4
0.071,2.8800000000000003,3.022,5.687,0.789,2.55-3.49
0.071,2.99,2.291,3.876,0.859,1.91-2.68
0.139,2.0,10.359,2.319,0.147,10.06-10.66
0.139,2.11,10.675,5.981,0.229,10.2-11.15
0.139,2.22,11.237,6.67,0.23,10.73-11.74
0.139,2.33,11.071,13.748,0.335,10.34-11.8
0.139,2.44,8.596,19.978,0.52,7.72-9.47
0.139,2.5500000000000003,5.375,11.932,0.643,4.7-6.05
0.139,2.66,4.606,8.545,0.635,4.03-5.18
0.139,2.7700000000000005,3.962,6.675,0.652,3.46-4.47
0.139,2.8800000000000003,3.205,6.258,0.78,2.72-3.7
0.139,2.99,3.24,5.467,0.722,2.78-3.7
0.208,2.0,10.476,1.651,0.123,10.22-10.73
0.208,2.11,10.81,3.692,0.178,10.43-11.19
0.208,2.22,10.583,5.484,0.221,10.12-11.04
0.208,2.33,11.481,12.768,0.311,10.78-12.18
0.208,2.44,10.625,17.78,0.397,9.8-11.45
0.208,2.5500000000000003,8.482,17.224,0.489,7.67-9.3
0.208,2.66,6.017,15.795,0.661,5.24-6.8
0.208,2.7700000000000005,5.788,9.385,0.529,5.19-6.39
0.208,2.8800000000000003,3.783,6.051,0.65,3.3-4.26
0.208,2.99,3.545,5.919,0.686,3.07-4.02
0.276,2.0,10.389,2.424,0.15,10.08-10.69
0.276,2.11,10.577,3.137,0.167,10.23-10.92
0.276,2.22,10.824,6.784,0.241,10.31-11.33
0.276,2.33,11.26,7.482,0.243,10.72-11.8
0.276,2.44,11.434,13.458,0.321,10.71-12.15
0.276,2.5500000000000003,10.715,16.02,0.374,9.93-11.5
0.276,2.66,7.823,16.522,0.52,7.03-8.62
0.276,2.7700000000000005,5.867,11.217,0.571,5.21-6.52
