Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,3.37,3.493,0.555,3.004-3.736
0.002,2.11,2.46,2.868,0.688,2.128-2.792
0.002,2.22,2.02,1.9,0.682,1.75-2.29
0.002,2.33,1.75,0.927,0.55,1.561-1.939
0.002,2.44,1.61,0.658,0.504,1.451-1.769
0.002,2.5500000000000003,1.35,0.387,0.461,1.228-1.472
0.002,2.66,1.32,0.418,0.49,1.193-1.447
0.002,2.7700000000000005,1.16,0.134,0.316,1.088-1.232
0.002,2.8800000000000003,1.14,0.12,0.304,1.072-1.208
0.002,2.99,1.2,0.2,0.373,1.112-1.288
0.071,2.0,320.35,6959.428,0.26,303.999-336.701
0.071,2.11,170.67,6445.541,0.47,154.934-186.406
0.071,2.22,79.2,3051.18,0.697,68.373-90.027
0.071,2.33,37.49,846.79,0.776,31.786-43.194
0.071,2.44,18.64,324.49,0.966,15.109-22.171
0.071,2.5500000000000003,10.26,62.932,0.773,8.705-11.815
0.071,2.66,7.42,24.764,0.671,6.445-8.395
0.071,2.7700000000000005,6.39,23.058,0.751,5.449-7.331
0.071,2.8800000000000003,5.1,14.05,0.735,4.365-5.835
0.071,2.99,3.67,5.841,0.659,3.196-4.144
0.139,2.0,695.54,13620.008,0.168,672.666-718.414
0.139,2.11,440.67,12382.021,0.253,418.86-462.48
0.139,2.22,271.93,7631.805,0.321,254.807-289.053
0.139,2.33,148.37,5435.353,0.497,133.92-162.82
0.139,2.44,64.05,2458.908,0.774,54.331-73.769
0.139,2.5500000000000003,22.42,435.524,0.931,18.33-26.51
0.139,2.66,14.89,161.978,0.855,12.395-17.385
0.139,2.7700000000000005,11.55,73.487,0.742,9.87-13.23
0.139,2.8800000000000003,7.56,36.626,0.801,6.374-8.746
0.139,2.99,6.84,25.994,0.745,5.841-7.839
0.208,2.0,982.57,14714.945,0.123,958.794-1006.346
0.208,2.11,688.26,19323.152,0.202,661.014-715.506
0.208,2.22,447.93,20352.865,0.318,419.968-475.892
0.208,2.33,259.53,11968.949,0.422,238.087-280.973
0.208,2.44,133.29,6244.726,0.593,117.801-148.779
0.208,2.5500000000000003,57.85,2119.307,0.796,48.827-66.873
0.208,2.66,27.09,516.042,0.839,22.638-31.542
0.208,2.7700000000000005,22.73,254.657,0.702,19.602-25.858
0.208,2.8800000000000003,11.69,80.974,0.77,9.926-13.454
0.208,2.99,8.56,32.286,0.664,7.446-9.674
0.276,2.0,1246.14,16816.5,0.104,1220.723-1271.557
0.276,2.11,924.49,22411.59,0.162,895.148-953.832
0.276,2.22,643.06,22703.456,0.234,613.527-672.593
0.276,2.33,389.77,17353.897,0.338,363.95-415.59
0.276,2.44,232.58,11898.144,0.469,211.201-253.959
0.276,2.5500000000000003,111.75,4858.488,0.624,98.088-125.412
0.276,2.66,47.78,1616.352,0.841,39.9-55.66
0.276,2.7700000000000005,26.84,479.994,0.816,22.546-31.134
0.276,2.8800000000000003,14.98,108.72,0.696,12.936-17.024
0.276,2.99,12.81,92.914,0.752,10.921-14.699
0.345,2.0,1447.75,20669.728,0.099,1419.571-1475.929
0.345,2.11,1139.69,13061.134,0.1,1117.29-1162.09
0.345,2.22,789.21,18137.006,0.171,762.814-815.606
0.345,2.33,536.32,20497.038,0.267,508.259-564.381
0.345,2.44,303.28,12691.242,0.371,281.2-325.36
0.345,2.5500000000000003,155.27,9062.937,0.613,136.611-173.929
0.345,2.66,70.82,2889.808,0.759,60.284-81.356
0.345,2.7700000000000005,32.75,591.467,0.743,27.983-37.517
0.345,2.8800000000000003,24.2,301.24,0.717,20.798-27.602
0.345,2.99,14.57,124.165,0.765,12.386-16.754
0.413,2.0,1652.83,20272.201,0.086,1624.923-1680.737
0.413,2.11,1293.63,49117.313,0.171,1250.192-1337.068
0.413,2.22,959.0,23631.68,0.16,928.87-989.13
0.413,2.33,647.76,38059.142,0.301,609.523-685.997
0.413,2.44,438.97,14872.609,0.278,415.067-462.873
0.413,2.5500000000000003,215.02,11231.66,0.493,194.248-235.792
0.413,2.66,91.47,4781.789,0.756,77.917-105.023
0.413,2.7700000000000005,44.11,1585.738,0.903,36.305-51.915
0.413,2.8800000000000003,26.94,383.396,0.727,23.102-30.778
0.413,2.99,17.08,172.054,0.768,14.509-19.651
0.482,2.0,1832.2,63840.58,0.138,1782.677-1881.723
0.482,2.11,1485.88,22414.386,0.101,1456.536-1515.224
0.482,2.22,1126.48,30576.83,0.155,1092.207-1160.753
0.482,2.33,774.25,29347.268,0.221,740.673-807.827
0.482,2.44,500.4,28415.26,0.337,467.361-533.439
0.482,2.5500000000000003,301.83,9041.501,0.315,283.193-320.467
0.482,2.66,146.74,8953.392,0.645,128.194-165.286
0.482,2.7700000000000005,60.91,2164.742,0.764,51.791-70.029
0.482,2.8800000000000003,31.04,819.838,0.922,25.428-36.652
0.482,2.99,20.97,209.989,0.691,18.13-23.81
0.55,2.0,2045.81,18266.794,0.066,2019.32-2072.3
0.55,2.11,1657.91,30316.082,0.105,1623.783-1692.037
0.55,2.22,1292.36,18113.53,0.104,1265.981-1318.739
0.55,2.33,935.15,27660.027,0.178,902.553-967.747
0.55,2.44,590.19,29927.774,0.293,556.283-624.097
0.55,2.5500000000000003,363.32,17314.978,0.362,337.529-389.111
0.55,2.66,176.41,8730.722,0.53,158.096-194.724
0.55,2.7700000000000005,74.39,3791.018,0.828,62.322-86.458
0.55,2.8800000000000003,42.34,1373.884,0.875,35.075-49.605
0.55,2.99,23.68,279.838,0.706,20.401-26.959
0.619,2.0,2190.77,76312.517,0.126,2136.626-2244.914
0.619,2.11,1814.47,20870.509,0.08,1786.155-1842.785
0.619,2.22,1388.05,42569.768,0.149,1347.61-1428.49
0.619,2.33,1053.8,28907.26,0.161,1020.476-1087.124
0.619,2.44,695.74,43706.852,0.3,654.764-736.716
0.619,2.5500000000000003,454.41,15276.622,0.272,430.185-478.635
