Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.0,0,2,2,3.27071765576
0.002,2.0,1,2,2,0.8908387617739999
0.002,2.0,10,5,8,2.41252522796
0.002,2.0,11,2,2,0.388614641749
0.002,2.0,12,2,2,0.9952780407590001
0.002,2.0,13,1,1,0.18830270519499998
0.002,2.0,14,3,3,2.38146565771
0.002,2.0,15,4,4,1.4869726474200002
0.002,2.0,16,1,1,0.22954262327599997
0.002,2.0,17,1,1,0.136054206494
0.002,2.0,18,3,3,1.27681436609
0.002,2.0,19,1,1,0.35434152846999994
0.002,2.0,2,3,3,2.42878722968
0.002,2.0,20,3,3,1.02285604805
0.002,2.0,21,3,6,2.82522985286
0.002,2.0,22,3,4,1.06346731185
0.002,2.0,23,1,1,0.22181549663400002
0.002,2.0,24,3,3,1.11118702567
0.002,2.0,25,3,3,1.11882405302
0.002,2.0,26,3,3,1.2522376523
0.002,2.0,27,6,8,3.45388174241
0.002,2.0,28,5,5,2.20377562145
0.002,2.0,29,6,7,2.38176723553
0.002,2.0,3,1,1,0.0392175870338
0.002,2.0,30,5,8,2.0276138535499997
0.002,2.0,31,2,3,2.2493458672799997
0.002,2.0,32,2,2,1.3597748240399998
0.002,2.0,33,10,15,3.82121701383
0.002,2.0,34,1,1,0.179831910347
0.002,2.0,35,2,2,2.8251231165
0.002,2.0,36,3,4,1.80409855683
0.002,2.0,37,3,4,1.30212134268
0.002,2.0,38,7,18,4.34397821615
0.002,2.0,39,4,4,2.45337560066
0.002,2.0,4,4,5,1.6542504221399998
0.002,2.0,40,6,8,2.96163242491
0.002,2.0,41,3,3,2.7357928408700003
0.002,2.0,42,3,5,3.91396204625
0.002,2.0,43,2,2,1.63632405447
0.002,2.0,44,4,4,2.7204911636199998
0.002,2.0,45,3,6,2.40501993104
0.002,2.0,46,7,8,2.8400032676399998
0.002,2.0,47,1,1,0.173103531719
0.002,2.0,48,2,2,1.58268454225
0.002,2.0,49,6,11,3.8436839006
0.002,2.0,5,2,2,1.9577275708700002
0.002,2.0,50,5,7,4.81467406314
0.002,2.0,51,7,8,2.7416137138
0.002,2.0,52,3,3,2.24776501249
0.002,2.0,53,4,6,2.1860076203400003
0.002,2.0,54,2,2,0.297200357012
0.002,2.0,55,6,9,5.9391817083300005
0.002,2.0,56,5,6,5.207991773380001
0.002,2.0,57,2,4,2.64454346257
0.002,2.0,58,1,1,0.217359138107
0.002,2.0,59,1,1,0.275932106377
0.002,2.0,6,7,10,6.68702411131
0.002,2.0,60,4,5,1.57610627726
0.002,2.0,61,4,4,0.563439252181
0.002,2.0,62,8,15,4.40047751685
0.002,2.0,63,1,1,0.0486161410414
0.002,2.0,64,4,5,2.1359193073400005
0.002,2.0,65,4,4,1.86884218435
0.002,2.0,66,1,1,0.08115613811410001
0.002,2.0,67,1,1,0.367697792628
0.002,2.0,68,3,7,2.90673283148
0.002,2.0,69,3,3,0.821713919399
0.002,2.0,7,4,4,1.2554823993000002
0.002,2.0,70,6,9,3.50369716305
0.002,2.0,71,4,6,2.32279921685
0.002,2.0,72,5,5,1.20531606966
0.002,2.0,73,1,1,0.184393780354
0.002,2.0,74,3,4,5.17123403359
0.002,2.0,75,4,4,2.2539436767099996
0.002,2.0,76,4,4,3.3723790625200003
0.002,2.0,77,2,2,1.0645821610700001
0.002,2.0,78,5,5,0.5249716907190001
0.002,2.0,79,3,3,2.51316683852
