Beta,Alpha,Average_FinalTime
0.002,2.0,2.028
0.002,2.11,1.628
0.002,2.22,1.415
0.002,2.33,1.547
0.002,2.44,1.186
0.002,2.5500000000000003,1.08
0.002,2.66,0.947
0.002,2.7700000000000005,1.057
0.002,2.8800000000000003,1.033
0.002,2.99,1.165
0.071,2.0,11.088
0.071,2.11,10.614
0.071,2.22,9.69
0.071,2.33,7.804
0.071,2.44,4.916
0.071,2.5500000000000003,3.946
0.071,2.66,3.588
0.071,2.7700000000000005,2.962
0.071,2.8800000000000003,3.022
0.071,2.99,2.291
0.139,2.0,10.359
0.139,2.11,10.675
0.139,2.22,11.237
0.139,2.33,11.071
0.139,2.44,8.596
0.139,2.5500000000000003,5.375
0.139,2.66,4.606
0.139,2.7700000000000005,3.962
0.139,2.8800000000000003,3.205
0.139,2.99,3.24
0.208,2.0,10.476
0.208,2.11,10.81
0.208,2.22,10.583
0.208,2.33,11.481
0.208,2.44,10.625
0.208,2.5500000000000003,8.482
0.208,2.66,6.017
0.208,2.7700000000000005,5.788
0.208,2.8800000000000003,3.783
0.208,2.99,3.545
0.276,2.0,10.389
0.276,2.11,10.577
0.276,2.22,10.824
0.276,2.33,11.26
0.276,2.44,11.434
0.276,2.5500000000000003,10.715
0.276,2.66,7.823
0.276,2.7700000000000005,5.867
0.276,2.8800000000000003,5.048
0.276,2.99,4.202
0.345,2.0,10.13
0.345,2.11,10.499
0.345,2.22,10.731
0.345,2.33,10.988
0.345,2.44,11.586
0.345,2.5500000000000003,10.291
0.345,2.66,8.903
0.345,2.7700000000000005,6.895
0.345,2.8800000000000003,5.445
0.345,2.99,4.428
0.413,2.0,10.321
0.413,2.11,10.256
0.413,2.22,10.53
0.413,2.33,10.312
0.413,2.44,11.556
0.413,2.5500000000000003,10.957
0.413,2.66,8.906
0.413,2.7700000000000005,6.945
0.413,2.8800000000000003,5.825
0.413,2.99,4.691
0.482,2.0,10.145
0.482,2.11,10.264
0.482,2.22,10.437
0.482,2.33,10.689
0.482,2.44,11.121
0.482,2.5500000000000003,11.7
0.482,2.66,10.74
0.482,2.7700000000000005,7.971
0.482,2.8800000000000003,6.034
0.482,2.99,4.884
0.55,2.0,10.14
0.55,2.11,9.897
0.55,2.22,10.322
0.55,2.33,10.722
0.55,2.44,10.726
0.55,2.5500000000000003,11.042
0.55,2.66,10.602
0.55,2.7700000000000005,8.664
0.55,2.8800000000000003,6.666
0.55,2.99,5.505
0.619,2.0,10.126
0.619,2.11,10.202
0.619,2.22,10.357
0.619,2.33,10.453
0.619,2.44,10.422
0.619,2.5500000000000003,10.999
0.619,2.66,10.276
0.619,2.7700000000000005,9.065
0.619,2.8800000000000003,7.042
0.619,2.99,5.89
