Beta,Alpha,Average_EventInf
0.002,2.0,4
0.002,2.11,3
0.002,2.22,2
0.002,2.33,2
0.002,2.44,2
0.002,2.5500000000000003,1
0.002,2.66,1
0.002,2.7700000000000005,1
0.002,2.8800000000000003,1
0.002,2.99,1
0.071,2.0,1000
0.071,2.11,622
0.071,2.22,315
0.071,2.33,139
0.071,2.44,50
0.071,2.5500000000000003,23
0.071,2.66,15
0.071,2.7700000000000005,11
0.071,2.8800000000000003,8
0.071,2.99,6
0.139,2.0,1876
0.139,2.11,1346
0.139,2.22,946
0.139,2.33,556
0.139,2.44,239
0.139,2.5500000000000003,68
0.139,2.66,35
0.139,2.7700000000000005,23
0.139,2.8800000000000003,15
0.139,2.99,13
0.208,2.0,2489
0.208,2.11,1922
0.208,2.22,1382
0.208,2.33,926
0.208,2.44,527
0.208,2.5500000000000003,222
0.208,2.66,83
0.208,2.7700000000000005,60
0.208,2.8800000000000003,25
0.208,2.99,16
0.276,2.0,3038
0.276,2.11,2430
0.276,2.22,1853
0.276,2.33,1280
0.276,2.44,837
0.276,2.5500000000000003,430
0.276,2.66,169
0.276,2.7700000000000005,76
0.276,2.8800000000000003,36
0.276,2.99,28
0.345,2.0,3431
0.345,2.11,2887
0.345,2.22,2208
0.345,2.33,1638
0.345,2.44,1069
0.345,2.5500000000000003,598
0.345,2.66,272
0.345,2.7700000000000005,106
0.345,2.8800000000000003,63
0.345,2.99,33
0.413,2.0,3791
0.413,2.11,3163
0.413,2.22,2547
0.413,2.33,1864
0.413,2.44,1417
0.413,2.5500000000000003,795
0.413,2.66,346
0.413,2.7700000000000005,140
0.413,2.8800000000000003,74
0.413,2.99,39
0.482,2.0,4104
0.482,2.11,3533
0.482,2.22,2875
0.482,2.33,2174
0.482,2.44,1562
0.482,2.5500000000000003,1073
0.482,2.66,565
0.482,2.7700000000000005,215
0.482,2.8800000000000003,94
0.482,2.99,49
0.55,2.0,4492
0.55,2.11,3859
0.55,2.22,3201
0.55,2.33,2500
0.55,2.44,1785
0.55,2.5500000000000003,1215
0.55,2.66,678
0.55,2.7700000000000005,273
0.55,2.8800000000000003,134
0.55,2.99,61
0.619,2.0,4671
0.619,2.11,4127
0.619,2.22,3376
0.619,2.33,2741
0.619,2.44,1998
0.619,2.5500000000000003,1458
0.619,2.66,746
0.619,2.7700000000000005,371
0.619,2.8800000000000003,151
0.619,2.99,81
