Beta,Alpha,Average_MaxInf
0.002,2.0,3.37
0.002,2.11,2.46
0.002,2.22,2.02
0.002,2.33,1.75
0.002,2.44,1.61
0.002,2.5500000000000003,1.35
0.002,2.66,1.32
0.002,2.7700000000000005,1.16
0.002,2.8800000000000003,1.14
0.002,2.99,1.2
0.071,2.0,320.35
0.071,2.11,170.67
0.071,2.22,79.2
0.071,2.33,37.49
0.071,2.44,18.64
0.071,2.5500000000000003,10.26
0.071,2.66,7.42
0.071,2.7700000000000005,6.39
0.071,2.8800000000000003,5.1
0.071,2.99,3.67
0.139,2.0,695.54
0.139,2.11,440.67
0.139,2.22,271.93
0.139,2.33,148.37
0.139,2.44,64.05
0.139,2.5500000000000003,22.42
0.139,2.66,14.89
0.139,2.7700000000000005,11.55
0.139,2.8800000000000003,7.56
0.139,2.99,6.84
0.208,2.0,982.57
0.208,2.11,688.26
0.208,2.22,447.93
0.208,2.33,259.53
0.208,2.44,133.29
0.208,2.5500000000000003,57.85
0.208,2.66,27.09
0.208,2.7700000000000005,22.73
0.208,2.8800000000000003,11.69
0.208,2.99,8.56
0.276,2.0,1246.14
0.276,2.11,924.49
0.276,2.22,643.06
0.276,2.33,389.77
0.276,2.44,232.58
0.276,2.5500000000000003,111.75
0.276,2.66,47.78
0.276,2.7700000000000005,26.84
0.276,2.8800000000000003,14.98
0.276,2.99,12.81
0.345,2.0,1447.75
0.345,2.11,1139.69
0.345,2.22,789.21
0.345,2.33,536.32
0.345,2.44,303.28
0.345,2.5500000000000003,155.27
0.345,2.66,70.82
0.345,2.7700000000000005,32.75
0.345,2.8800000000000003,24.2
0.345,2.99,14.57
0.413,2.0,1652.83
0.413,2.11,1293.63
0.413,2.22,959.0
0.413,2.33,647.76
0.413,2.44,438.97
0.413,2.5500000000000003,215.02
0.413,2.66,91.47
0.413,2.7700000000000005,44.11
0.413,2.8800000000000003,26.94
0.413,2.99,17.08
0.482,2.0,1832.2
0.482,2.11,1485.88
0.482,2.22,1126.48
0.482,2.33,774.25
0.482,2.44,500.4
0.482,2.5500000000000003,301.83
0.482,2.66,146.74
0.482,2.7700000000000005,60.91
0.482,2.8800000000000003,31.04
0.482,2.99,20.97
0.55,2.0,2045.81
0.55,2.11,1657.91
0.55,2.22,1292.36
0.55,2.33,935.15
0.55,2.44,590.19
0.55,2.5500000000000003,363.32
0.55,2.66,176.41
0.55,2.7700000000000005,74.39
0.55,2.8800000000000003,42.34
0.55,2.99,23.68
0.619,2.0,2190.77
0.619,2.11,1814.47
0.619,2.22,1388.05
0.619,2.33,1053.8
0.619,2.44,695.74
0.619,2.5500000000000003,454.41
0.619,2.66,206.28
0.619,2.7700000000000005,99.98
0.619,2.8800000000000003,44.96
0.619,2.99,29.24
