Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,1.0,0.0,0.0,1.0-1.0
0.002,2.11,1.0,0.0,0.0,1.0-1.0
0.002,2.22,1.0,0.0,0.0,1.0-1.0
0.002,2.33,1.0,0.0,0.0,1.0-1.0
0.002,2.44,1.0,0.0,0.0,1.0-1.0
0.002,2.5500000000000003,1.0,0.0,0.0,1.0-1.0
0.002,2.66,1.0,0.0,0.0,1.0-1.0
0.002,2.7700000000000005,1.0,0.0,0.0,1.0-1.0
0.002,2.8800000000000003,1.0,0.0,0.0,1.0-1.0
0.002,2.99,1.0,0.0,0.0,1.0-1.0
0.071,2.0,148.77,137375.517,2.491,76.12-221.42
0.071,2.11,47.08,33040.374,3.861,11.45-82.71
0.071,2.22,7.89,2229.718,5.985,-1.37-17.15
0.071,2.33,1.37,3.253,1.317,1.02-1.72
0.071,2.44,2.95,279.268,5.665,-0.33-6.23
0.071,2.5500000000000003,1.18,0.188,0.367,1.1-1.26
0.071,2.66,1.2,0.96,0.816,1.01-1.39
0.071,2.7700000000000005,1.2,1.48,1.014,0.96-1.44
0.071,2.8800000000000003,1.43,3.725,1.35,1.05-1.81
0.071,2.99,1.06,0.116,0.322,0.99-1.13
0.139,2.0,602.99,793911.29,1.478,428.35-777.63
0.139,2.11,259.17,288297.581,2.072,153.93-364.41
0.139,2.22,124.23,104050.957,2.597,61.01-187.45
0.139,2.33,26.82,18370.088,5.054,0.25-53.39
0.139,2.44,14.24,4079.802,4.485,1.72-26.76
0.139,2.5500000000000003,3.79,642.766,6.689,-1.18-8.76
0.139,2.66,1.54,4.268,1.342,1.14-1.94
0.139,2.7700000000000005,1.34,1.024,0.755,1.14-1.54
0.139,2.8800000000000003,1.18,1.068,0.876,0.98-1.38
0.139,2.99,1.49,8.69,1.978,0.91-2.07
0.208,2.0,1218.93,1598205.045,1.037,971.15-1466.71
0.208,2.11,639.12,924521.486,1.504,450.66-827.58
0.208,2.22,361.74,405508.772,1.76,236.93-486.55
0.208,2.33,52.67,52069.581,4.332,7.95-97.39
0.208,2.44,54.43,39330.825,3.644,15.56-93.3
0.208,2.5500000000000003,9.68,2262.198,4.913,0.36-19.0
0.208,2.66,2.04,9.638,1.522,1.43-2.65
0.208,2.7700000000000005,2.08,17.634,2.019,1.26-2.9
