Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,1.166,1.446,1.032,0.93-1.4
0.002,2.11,1.061,1.248,1.053,0.84-1.28
0.002,2.22,1.08,0.91,0.883,0.89-1.27
0.002,2.33,1.129,1.446,1.065,0.89-1.36
0.002,2.44,1.055,1.133,1.009,0.85-1.26
0.002,2.5500000000000003,0.978,0.91,0.975,0.79-1.17
0.002,2.66,1.214,1.521,1.016,0.97-1.46
0.002,2.7700000000000005,1.057,1.506,1.16,0.82-1.3
0.002,2.8800000000000003,1.013,1.059,1.016,0.81-1.21
0.002,2.99,0.978,0.863,0.95,0.8-1.16
0.071,2.0,2.419,15.809,1.643,1.64-3.2
0.071,2.11,1.941,11.151,1.721,1.29-2.6
0.071,2.22,1.479,7.95,1.907,0.93-2.03
0.071,2.33,1.011,1.053,1.016,0.81-1.21
0.071,2.44,1.425,3.347,1.284,1.07-1.78
0.071,2.5500000000000003,1.057,1.279,1.07,0.84-1.28
0.071,2.66,1.059,1.261,1.06,0.84-1.28
0.071,2.7700000000000005,1.139,1.363,1.025,0.91-1.37
0.071,2.8800000000000003,1.199,1.71,1.091,0.94-1.46
0.071,2.99,1.08,1.009,0.93,0.88-1.28
0.139,2.0,3.986,24.46,1.241,3.02-4.96
0.139,2.11,3.069,22.087,1.531,2.15-3.99
0.139,2.22,2.619,18.758,1.654,1.77-3.47
0.139,2.33,1.592,7.362,1.704,1.06-2.12
0.139,2.44,1.748,6.49,1.457,1.25-2.25
0.139,2.5500000000000003,1.256,3.686,1.529,0.88-1.63
0.139,2.66,1.173,1.3,0.972,0.95-1.4
0.139,2.7700000000000005,0.975,1.048,1.05,0.77-1.18
0.139,2.8800000000000003,0.954,0.811,0.945,0.78-1.13
0.139,2.99,0.945,1.333,1.221,0.72-1.17
0.208,2.0,5.695,28.049,0.93,4.66-6.73
0.208,2.11,4.107,25.381,1.227,3.12-5.09
0.208,2.22,3.738,26.68,1.382,2.73-4.75
0.208,2.33,1.656,6.68,1.561,1.15-2.16
0.208,2.44,1.867,9.743,1.672,1.26-2.48
0.208,2.5500000000000003,1.585,4.609,1.354,1.16-2.01
0.208,2.66,1.416,2.666,1.153,1.1-1.74
0.208,2.7700000000000005,1.103,1.425,1.082,0.87-1.34
0.208,2.8800000000000003,1.176,1.609,1.079,0.93-1.42
0.208,2.99,1.332,2.477,1.181,1.02-1.64
0.276,2.0,6.006,30.462,0.919,4.92-7.09
0.276,2.11,4.976,28.459,1.072,3.93-6.02
0.276,2.22,3.788,25.892,1.343,2.79-4.79
0.276,2.33,3.093,19.133,1.414,2.24-3.95
0.276,2.44,2.589,17.344,1.609,1.77-3.4
0.276,2.5500000000000003,2.087,13.218,1.742,1.37-2.8
0.276,2.66,1.681,4.942,1.323,1.25-2.12
0.276,2.7700000000000005,1.229,2.922,1.391,0.89-1.56
0.276,2.8800000000000003,1.417,3.916,1.396,1.03-1.81
0.276,2.99,1.204,1.904,1.146,0.93-1.47
0.345,2.0,6.127,26.07,0.833,5.13-7.13
0.345,2.11,4.858,29.849,1.125,3.79-5.93
0.345,2.22,4.935,28.905,1.09,3.88-5.99
0.345,2.33,2.834,19.797,1.57,1.96-3.71
0.345,2.44,3.238,22.221,1.456,2.31-4.16
0.345,2.5500000000000003,1.844,10.006,1.715,1.22-2.46
0.345,2.66,2.258,10.82,1.457,1.61-2.9
0.345,2.7700000000000005,1.786,7.186,1.501,1.26-2.31
0.345,2.8800000000000003,1.509,3.887,1.307,1.12-1.89
0.345,2.99,1.533,3.996,1.304,1.14-1.93
0.413,2.0,6.366,27.133,0.818,5.35-7.39
0.413,2.11,5.529,29.187,0.977,4.47-6.59
0.413,2.22,4.259,26.35,1.205,3.25-5.26
0.413,2.33,3.664,20.9,1.248,2.77-4.56
0.413,2.44,3.206,20.725,1.42,2.31-4.1
0.413,2.5500000000000003,2.646,14.259,1.427,1.91-3.39
0.413,2.66,2.9,16.859,1.416,2.1-3.7
0.413,2.7700000000000005,1.649,5.259,1.391,1.2-2.1
0.413,2.8800000000000003,1.456,2.77,1.143,1.13-1.78
0.413,2.99,1.522,3.496,1.228,1.16-1.89
0.482,2.0,7.528,24.093,0.652,6.57-8.49
0.482,2.11,5.602,28.65,0.955,4.55-6.65
0.482,2.22,3.734,22.825,1.279,2.8-4.67
0.482,2.33,4.077,24.907,1.224,3.1-5.06
0.482,2.44,4.136,28.338,1.287,3.09-5.18
0.482,2.5500000000000003,4.783,33.983,1.219,3.64-5.93
0.482,2.66,3.204,18.53,1.344,2.36-4.05
0.482,2.7700000000000005,2.001,7.414,1.361,1.47-2.53
0.482,2.8800000000000003,2.148,9.638,1.445,1.54-2.76
0.482,2.99,1.308,3.684,1.468,0.93-1.68
0.55,2.0,7.404,22.107,0.635,6.48-8.33
0.55,2.11,7.276,24.788,0.684,6.3-8.25
0.55,2.22,4.786,27.014,1.086,3.77-5.8
0.55,2.33,3.884,23.811,1.256,2.93-4.84
0.55,2.44,3.949,27.944,1.339,2.91-4.99
0.55,2.5500000000000003,3.069,22.894,1.559,2.13-4.01
0.55,2.66,3.288,20.315,1.371,2.4-4.17
0.55,2.7700000000000005,2.131,11.512,1.592,1.47-2.8
0.55,2.8800000000000003,1.942,6.598,1.322,1.44-2.45
0.55,2.99,1.495,3.345,1.224,1.14-1.85
0.619,2.0,7.916,20.107,0.566,7.04-8.79
0.619,2.11,7.065,29.14,0.764,6.01-8.12
0.619,2.22,5.439,27.278,0.96,4.42-6.46
0.619,2.33,4.978,27.698,1.057,3.95-6.01
0.619,2.44,4.123,31.372,1.358,3.03-5.22
0.619,2.5500000000000003,3.828,24.63,1.297,2.86-4.8
0.619,2.66,3.696,28.616,1.447,2.65-4.74
0.619,2.7700000000000005,2.969,15.697,1.335,2.19-3.75
0.619,2.8800000000000003,2.339,12.588,1.517,1.64-3.03
0.619,2.99,1.619,5.617,1.464,1.15-2.08
