Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,1.0,0.0,0.0,1.0-1.0
0.002,2.11,1.0,0.0,0.0,1.0-1.0
0.002,2.22,1.0,0.0,0.0,1.0-1.0
0.002,2.33,1.0,0.0,0.0,1.0-1.0
0.002,2.44,1.0,0.0,0.0,1.0-1.0
0.002,2.5500000000000003,1.0,0.0,0.0,1.0-1.0
0.002,2.66,1.0,0.0,0.0,1.0-1.0
0.002,2.7700000000000005,1.0,0.0,0.0,1.0-1.0
0.002,2.8800000000000003,1.0,0.0,0.0,1.0-1.0
0.002,2.99,1.0,0.0,0.0,1.0-1.0
0.071,2.0,48.5,14293.53,2.465,25.067-71.933
0.071,2.11,14.28,2715.082,3.649,4.067-24.493
0.071,2.22,2.6,91.0,3.669,0.73-4.47
0.071,2.33,1.31,2.094,1.105,1.026-1.594
0.071,2.44,1.69,22.134,2.784,0.768-2.612
0.071,2.5500000000000003,1.18,0.188,0.367,1.095-1.265
0.071,2.66,1.16,0.574,0.653,1.011-1.309
0.071,2.7700000000000005,1.13,0.313,0.495,1.02-1.24
0.071,2.8800000000000003,1.26,1.292,0.902,1.037-1.483
0.071,2.99,1.05,0.068,0.247,0.999-1.101
0.139,2.0,220.01,105767.61,1.478,156.267-283.753
0.139,2.11,85.82,31204.588,2.058,51.197-120.443
0.139,2.22,35.3,8282.85,2.578,17.462-53.138
0.139,2.33,8.73,1634.977,4.632,0.805-16.655
0.139,2.44,4.99,330.37,3.643,1.427-8.553
0.139,2.5500000000000003,1.86,41.72,3.473,0.594-3.126
0.139,2.66,1.44,1.746,0.918,1.181-1.699
0.139,2.7700000000000005,1.3,0.73,0.657,1.133-1.467
0.139,2.8800000000000003,1.17,0.901,0.811,0.984-1.356
0.139,2.99,1.24,1.482,0.982,1.001-1.479
0.208,2.0,476.65,244350.947,1.037,379.764-573.536
0.208,2.11,228.57,117810.825,1.502,161.296-295.844
0.208,2.22,118.35,44168.727,1.776,77.158-159.542
0.208,2.33,17.42,5291.484,4.176,3.162-31.678
0.208,2.44,17.23,3601.997,3.483,5.467-28.993
0.208,2.5500000000000003,3.41,135.642,3.415,1.127-5.693
0.208,2.66,1.7,4.13,1.195,1.302-2.098
0.208,2.7700000000000005,1.66,4.944,1.34,1.224-2.096
