Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.0,0,1,1,1.28857451831
0.002,2.0,1,1,1,0.7518586766840001
0.002,2.0,10,1,1,3.43367705239
0.002,2.0,11,1,1,3.18978738272
0.002,2.0,12,1,1,0.138871162647
0.002,2.0,13,1,1,1.24429536166
0.002,2.0,14,1,1,0.5767408832509999
0.002,2.0,15,1,1,0.29274220123399997
0.002,2.0,16,1,1,0.604465213604
0.002,2.0,17,1,1,0.170640983746
0.002,2.0,18,1,1,0.092258791548
0.002,2.0,19,1,1,0.00675520286276
0.002,2.0,2,1,1,3.13931328273
0.002,2.0,20,1,1,1.6601290101
0.002,2.0,21,1,1,0.381362122708
0.002,2.0,22,1,1,1.25831235077
0.002,2.0,23,1,1,0.6985038549320001
0.002,2.0,24,1,1,0.7174718192370001
0.002,2.0,25,1,1,0.353881068567
0.002,2.0,26,1,1,0.0315224594232
0.002,2.0,27,1,1,2.11713304892
0.002,2.0,28,1,1,2.3729818602400004
0.002,2.0,29,1,1,1.1959748746799999
0.002,2.0,3,1,1,0.802903490269
0.002,2.0,30,1,1,3.5357106413
0.002,2.0,31,1,1,0.6277335393600001
0.002,2.0,32,1,1,1.41807564206
0.002,2.0,33,1,1,1.8326448162200002
0.002,2.0,34,1,1,0.281861905205
0.002,2.0,35,1,1,0.947860779496
0.002,2.0,36,1,1,0.7110725822669999
0.002,2.0,37,1,1,0.68525018265
0.002,2.0,38,1,1,0.753396424329
0.002,2.0,39,1,1,0.147533763316
0.002,2.0,4,1,1,0.328228154086
0.002,2.0,40,1,1,1.31571425195
0.002,2.0,41,1,1,0.814302909655
0.002,2.0,42,1,1,0.17437772417800002
0.002,2.0,43,1,1,1.46984330127
0.002,2.0,44,1,1,1.33459786668
0.002,2.0,45,1,1,1.041741594
0.002,2.0,46,1,1,0.263403669906
0.002,2.0,47,1,1,0.281280469613
0.002,2.0,48,1,1,1.44620317009
0.002,2.0,49,1,1,0.35500192882700005
0.002,2.0,5,1,1,0.0506570015019
0.002,2.0,50,1,1,1.8797217676900002
0.002,2.0,51,1,1,1.16186342872
0.002,2.0,52,1,1,1.53038672504
0.002,2.0,53,1,1,1.235587808
0.002,2.0,54,1,1,2.07277714189
0.002,2.0,55,1,1,0.44897684007
0.002,2.0,56,1,1,1.7227639117299998
0.002,2.0,57,1,1,0.11256967908299999
0.002,2.0,58,1,1,7.972290146160001
0.002,2.0,59,1,1,0.7575949957439999
0.002,2.0,6,1,1,0.678191406499
0.002,2.0,60,1,1,1.57404209128
0.002,2.0,61,1,1,6.457984272819999
0.002,2.0,62,1,1,0.0019464967080599998
0.002,2.0,63,1,1,0.21207306683200003
0.002,2.0,64,1,1,0.411677102449
0.002,2.0,65,1,1,1.21850949935
0.002,2.0,66,1,1,0.900348328141
0.002,2.0,67,1,1,0.7870688281479999
0.002,2.0,68,1,1,1.15040805036
0.002,2.0,69,1,1,0.518811231855
0.002,2.0,7,1,1,2.43522726172
0.002,2.0,70,1,1,0.9376223811579999
0.002,2.0,71,1,1,1.13161773861
0.002,2.0,72,1,1,1.3014484151999999
0.002,2.0,73,1,1,0.601949993401
0.002,2.0,74,1,1,0.247866049019
0.002,2.0,75,1,1,0.7822652911110001
0.002,2.0,76,1,1,0.256298927868
0.002,2.0,77,1,1,0.441649197888
0.002,2.0,78,1,1,0.903449340526
0.002,2.0,79,1,1,1.62480504739
0.002,2.0,8,1,1,0.45858105642499997
0.002,2.0,80,1,1,0.72794743956
0.002,2.0,81,1,1,2.31830271897
0.002,2.0,82,1,1,2.49174018974
0.002,2.0,83,1,1,1.7075466532700003
0.002,2.0,84,1,1,1.41769040255
0.002,2.0,85,1,1,0.188569063578
0.002,2.0,86,1,1,0.482192805256
0.002,2.0,87,1,1,2.12626508313
0.002,2.0,88,1,1,2.35910723628
0.002,2.0,89,1,1,2.49387748442
0.002,2.0,9,1,1,2.58302095869
0.002,2.0,90,1,1,0.48006367122500004
0.002,2.0,91,1,1,2.60987960539
0.002,2.0,92,1,1,0.0378994824381
0.002,2.0,93,1,1,0.745932444246
0.002,2.0,94,1,1,0.748896303116
0.002,2.0,95,1,1,0.0981574716259
0.002,2.0,96,1,1,1.3066418511
0.002,2.0,97,1,1,0.0393069540331
0.002,2.0,98,1,1,0.681445357002
0.002,2.0,99,1,1,0.65839648528
0.002,2.11,0,1,1,1.01337980435
0.002,2.11,1,1,1,2.01555255602
0.002,2.11,10,1,1,5.59539579947
0.002,2.11,11,1,1,1.5624972557199999
0.002,2.11,12,1,1,0.0600038353544
0.002,2.11,13,1,1,0.547894114121
0.002,2.11,14,1,1,0.20656224110500002
0.002,2.11,15,1,1,1.5679742204
0.002,2.11,16,1,1,2.79498812788
