Beta,Alpha,Average_FinalTime
0.002,2.0,1.166
0.002,2.11,1.061
0.002,2.22,1.08
0.002,2.33,1.129
0.002,2.44,1.055
0.002,2.5500000000000003,0.978
0.002,2.66,1.214
0.002,2.7700000000000005,1.057
0.002,2.8800000000000003,1.013
0.002,2.99,0.978
0.071,2.0,2.419
0.071,2.11,1.941
0.071,2.22,1.479
0.071,2.33,1.011
0.071,2.44,1.425
0.071,2.5500000000000003,1.057
0.071,2.66,1.059
0.071,2.7700000000000005,1.139
0.071,2.8800000000000003,1.199
0.071,2.99,1.08
0.139,2.0,3.986
0.139,2.11,3.069
0.139,2.22,2.619
0.139,2.33,1.592
0.139,2.44,1.748
0.139,2.5500000000000003,1.256
0.139,2.66,1.173
0.139,2.7700000000000005,0.975
0.139,2.8800000000000003,0.954
0.139,2.99,0.945
0.208,2.0,5.695
0.208,2.11,4.107
0.208,2.22,3.738
0.208,2.33,1.656
0.208,2.44,1.867
0.208,2.5500000000000003,1.585
0.208,2.66,1.416
0.208,2.7700000000000005,1.103
0.208,2.8800000000000003,1.176
0.208,2.99,1.332
0.276,2.0,6.006
0.276,2.11,4.976
0.276,2.22,3.788
0.276,2.33,3.093
0.276,2.44,2.589
0.276,2.5500000000000003,2.087
0.276,2.66,1.681
0.276,2.7700000000000005,1.229
0.276,2.8800000000000003,1.417
0.276,2.99,1.204
0.345,2.0,6.127
0.345,2.11,4.858
0.345,2.22,4.935
0.345,2.33,2.834
0.345,2.44,3.238
0.345,2.5500000000000003,1.844
0.345,2.66,2.258
0.345,2.7700000000000005,1.786
0.345,2.8800000000000003,1.509
0.345,2.99,1.533
0.413,2.0,6.366
0.413,2.11,5.529
0.413,2.22,4.259
0.413,2.33,3.664
0.413,2.44,3.206
0.413,2.5500000000000003,2.646
0.413,2.66,2.9
0.413,2.7700000000000005,1.649
0.413,2.8800000000000003,1.456
0.413,2.99,1.522
0.482,2.0,7.528
0.482,2.11,5.602
0.482,2.22,3.734
0.482,2.33,4.077
0.482,2.44,4.136
0.482,2.5500000000000003,4.783
0.482,2.66,3.204
0.482,2.7700000000000005,2.001
0.482,2.8800000000000003,2.148
0.482,2.99,1.308
0.55,2.0,7.404
0.55,2.11,7.276
0.55,2.22,4.786
0.55,2.33,3.884
0.55,2.44,3.949
0.55,2.5500000000000003,3.069
0.55,2.66,3.288
0.55,2.7700000000000005,2.131
0.55,2.8800000000000003,1.942
0.55,2.99,1.495
0.619,2.0,7.916
0.619,2.11,7.065
0.619,2.22,5.439
0.619,2.33,4.978
0.619,2.44,4.123
0.619,2.5500000000000003,3.828
0.619,2.66,3.696
0.619,2.7700000000000005,2.969
0.619,2.8800000000000003,2.339
0.619,2.99,1.619
