Beta,Alpha,Average_EventInf
0.002,2.0,1
0.002,2.11,1
0.002,2.22,1
0.002,2.33,1
0.002,2.44,1
0.002,2.5500000000000003,1
0.002,2.66,1
0.002,2.7700000000000005,1
0.002,2.8800000000000003,1
0.002,2.99,1
0.071,2.0,149
0.071,2.11,47
0.071,2.22,8
0.071,2.33,1
0.071,2.44,3
0.071,2.5500000000000003,1
0.071,2.66,1
0.071,2.7700000000000005,1
0.071,2.8800000000000003,1
0.071,2.99,1
0.139,2.0,603
0.139,2.11,259
0.139,2.22,124
0.139,2.33,27
0.139,2.44,14
0.139,2.5500000000000003,4
0.139,2.66,2
0.139,2.7700000000000005,1
0.139,2.8800000000000003,1
0.139,2.99,1
0.208,2.0,1219
0.208,2.11,639
0.208,2.22,362
0.208,2.33,53
0.208,2.44,54
0.208,2.5500000000000003,10
0.208,2.66,2
0.208,2.7700000000000005,2
0.208,2.8800000000000003,2
0.208,2.99,2
0.276,2.0,1558
0.276,2.11,969
0.276,2.22,477
0.276,2.33,260
0.276,2.44,90
0.276,2.5500000000000003,36
0.276,2.66,11
0.276,2.7700000000000005,5
0.276,2.8800000000000003,4
0.276,2.99,2
0.345,2.0,1911
0.345,2.11,1064
0.345,2.22,782
0.345,2.33,209
0.345,2.44,217
0.345,2.5500000000000003,32
0.345,2.66,31
0.345,2.7700000000000005,13
0.345,2.8800000000000003,5
0.345,2.99,3
0.413,2.0,2175
0.413,2.11,1483
0.413,2.22,829
0.413,2.33,503
0.413,2.44,302
0.413,2.5500000000000003,117
0.413,2.66,71
0.413,2.7700000000000005,10
0.413,2.8800000000000003,5
0.413,2.99,3
0.482,2.0,2969
0.482,2.11,1674
0.482,2.22,817
0.482,2.33,629
0.482,2.44,428
0.482,2.5500000000000003,318
0.482,2.66,91
0.482,2.7700000000000005,30
0.482,2.8800000000000003,24
0.482,2.99,4
0.55,2.0,3110
0.55,2.11,2486
0.55,2.22,1165
0.55,2.33,717
0.55,2.44,479
0.55,2.5500000000000003,176
0.55,2.66,121
0.55,2.7700000000000005,29
0.55,2.8800000000000003,15
0.55,2.99,4
0.619,2.0,3490
0.619,2.11,2530
0.619,2.22,1539
0.619,2.33,1087
0.619,2.44,588
0.619,2.5500000000000003,351
0.619,2.66,163
0.619,2.7700000000000005,56
0.619,2.8800000000000003,27
0.619,2.99,9
