Beta,Alpha,Average_MaxInf
0.002,2.0,1.0
0.002,2.11,1.0
0.002,2.22,1.0
0.002,2.33,1.0
0.002,2.44,1.0
0.002,2.5500000000000003,1.0
0.002,2.66,1.0
0.002,2.7700000000000005,1.0
0.002,2.8800000000000003,1.0
0.002,2.99,1.0
0.071,2.0,48.5
0.071,2.11,14.28
0.071,2.22,2.6
0.071,2.33,1.31
0.071,2.44,1.69
0.071,2.5500000000000003,1.18
0.071,2.66,1.16
0.071,2.7700000000000005,1.13
0.071,2.8800000000000003,1.26
0.071,2.99,1.05
0.139,2.0,220.01
0.139,2.11,85.82
0.139,2.22,35.3
0.139,2.33,8.73
0.139,2.44,4.99
0.139,2.5500000000000003,1.86
0.139,2.66,1.44
0.139,2.7700000000000005,1.3
0.139,2.8800000000000003,1.17
0.139,2.99,1.24
0.208,2.0,476.65
0.208,2.11,228.57
0.208,2.22,118.35
0.208,2.33,17.42
0.208,2.44,17.23
0.208,2.5500000000000003,3.41
0.208,2.66,1.7
0.208,2.7700000000000005,1.66
0.208,2.8800000000000003,1.54
0.208,2.99,1.61
0.276,2.0,632.77
0.276,2.11,365.2
0.276,2.22,163.07
0.276,2.33,84.35
0.276,2.44,22.6
0.276,2.5500000000000003,10.08
0.276,2.66,3.92
0.276,2.7700000000000005,2.48
0.276,2.8800000000000003,2.24
0.276,2.99,1.78
0.345,2.0,818.64
0.345,2.11,420.62
0.345,2.22,284.98
0.345,2.33,66.46
0.345,2.44,65.98
0.345,2.5500000000000003,8.78
0.345,2.66,9.85
0.345,2.7700000000000005,5.14
0.345,2.8800000000000003,2.64
0.345,2.99,2.19
0.413,2.0,941.92
0.413,2.11,611.31
0.413,2.22,314.98
0.413,2.33,174.64
0.413,2.44,96.31
0.413,2.5500000000000003,34.71
0.413,2.66,19.29
0.413,2.7700000000000005,4.05
0.413,2.8800000000000003,2.92
0.413,2.99,2.3
0.482,2.0,1317.25
0.482,2.11,702.77
0.482,2.22,320.17
0.482,2.33,225.78
0.482,2.44,135.11
0.482,2.5500000000000003,89.33
0.482,2.66,25.59
0.482,2.7700000000000005,9.58
0.482,2.8800000000000003,8.22
0.482,2.99,2.3
0.55,2.0,1409.13
0.55,2.11,1074.84
0.55,2.22,468.75
0.55,2.33,264.32
0.55,2.44,163.44
0.55,2.5500000000000003,52.96
0.55,2.66,31.93
0.55,2.7700000000000005,8.89
0.55,2.8800000000000003,5.43
0.55,2.99,2.6
0.619,2.0,1630.14
0.619,2.11,1117.08
0.619,2.22,635.68
0.619,2.33,417.27
0.619,2.44,204.09
0.619,2.5500000000000003,113.61
0.619,2.66,44.27
0.619,2.7700000000000005,15.57
0.619,2.8800000000000003,7.98
0.619,2.99,3.96
