Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,1.02,0.02,0.137,0.99-1.05
0.002,2.11,1.06,0.356,0.563,0.94-1.18
0.002,2.22,1.0,0.0,0.0,1.0-1.0
0.002,2.33,1.0,0.0,0.0,1.0-1.0
0.002,2.44,1.03,0.029,0.166,1.0-1.06
0.002,2.5500000000000003,1.0,0.0,0.0,1.0-1.0
0.002,2.66,1.0,0.0,0.0,1.0-1.0
0.002,2.7700000000000005,1.0,0.0,0.0,1.0-1.0
0.002,2.8800000000000003,1.0,0.0,0.0,1.0-1.0
0.002,2.99,1.0,0.0,0.0,1.0-1.0
0.071,2.0,11.73,11376.717,9.093,-9.18-32.64
0.071,2.11,21.56,13798.006,5.448,-1.46-44.58
0.071,2.22,19.57,8850.065,4.807,1.13-38.01
0.071,2.33,1.31,4.914,1.692,0.88-1.74
0.071,2.44,1.24,3.602,1.531,0.87-1.61
0.071,2.5500000000000003,1.3,1.73,1.012,1.04-1.56
0.071,2.66,1.07,0.085,0.273,1.01-1.13
0.071,2.7700000000000005,1.02,0.02,0.137,0.99-1.05
0.071,2.8800000000000003,1.05,0.087,0.282,0.99-1.11
0.071,2.99,1.16,0.494,0.606,1.02-1.3
0.139,2.0,171.07,296050.165,3.181,64.43-277.71
0.139,2.11,96.55,122735.028,3.629,27.88-165.22
0.139,2.22,28.46,24154.488,5.461,-2.0-58.92
0.139,2.33,30.98,14974.28,3.95,7.0-54.96
0.139,2.44,8.21,2524.906,6.12,-1.64-18.06
0.139,2.5500000000000003,5.45,761.488,5.063,0.04-10.86
0.139,2.66,1.53,5.289,1.503,1.08-1.98
0.139,2.7700000000000005,1.91,19.782,2.329,1.04-2.78
0.139,2.8800000000000003,1.69,11.334,1.992,1.03-2.35
0.139,2.99,1.3,1.55,0.958,1.06-1.54
0.208,2.0,392.85,818956.087,2.304,215.48-570.22
0.208,2.11,268.56,493813.186,2.617,130.83-406.29
0.208,2.22,132.66,176509.364,3.167,50.31-215.01
0.208,2.33,116.23,102333.437,2.752,53.53-178.93
0.208,2.44,31.03,18147.609,4.341,4.63-57.43
0.208,2.5500000000000003,21.51,8590.17,4.309,3.34-39.68
0.208,2.66,6.15,1025.668,5.207,-0.13-12.43
