Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,1.121,0.828,0.812,0.94-1.3
0.002,2.11,0.966,0.848,0.954,0.79-1.15
0.002,2.22,1.072,1.292,1.061,0.85-1.29
0.002,2.33,0.983,1.098,1.066,0.78-1.19
0.002,2.44,1.056,0.806,0.85,0.88-1.23
0.002,2.5500000000000003,1.158,0.946,0.84,0.97-1.35
0.002,2.66,0.86,0.583,0.888,0.71-1.01
0.002,2.7700000000000005,1.029,1.109,1.023,0.82-1.24
0.002,2.8800000000000003,0.943,0.884,0.997,0.76-1.13
0.002,2.99,0.955,1.385,1.232,0.72-1.19
0.071,2.0,1.104,2.143,1.326,0.82-1.39
0.071,2.11,1.317,5.929,1.849,0.84-1.79
0.071,2.22,1.472,6.165,1.687,0.99-1.96
0.071,2.33,0.972,1.239,1.146,0.75-1.19
0.071,2.44,1.138,1.412,1.044,0.91-1.37
0.071,2.5500000000000003,0.984,1.07,1.051,0.78-1.19
0.071,2.66,1.061,1.338,1.091,0.83-1.29
0.071,2.7700000000000005,0.846,0.757,1.029,0.68-1.02
0.071,2.8800000000000003,1.087,1.417,1.095,0.85-1.32
0.071,2.99,0.918,0.98,1.078,0.72-1.11
0.139,2.0,1.935,10.633,1.685,1.3-2.57
0.139,2.11,1.874,9.709,1.663,1.26-2.48
0.139,2.22,1.421,7.402,1.915,0.89-1.95
0.139,2.33,1.624,8.14,1.756,1.07-2.18
0.139,2.44,1.387,4.003,1.443,0.99-1.78
0.139,2.5500000000000003,1.399,5.065,1.609,0.96-1.84
0.139,2.66,1.06,1.355,1.098,0.83-1.29
0.139,2.7700000000000005,1.102,1.363,1.059,0.87-1.33
0.139,2.8800000000000003,1.233,1.883,1.113,0.96-1.5
0.139,2.99,1.206,1.876,1.136,0.94-1.47
0.208,2.0,2.674,17.46,1.562,1.86-3.49
0.208,2.11,2.318,16.739,1.765,1.52-3.12
0.208,2.22,2.078,12.093,1.673,1.4-2.76
0.208,2.33,2.563,19.981,1.744,1.69-3.44
0.208,2.44,1.513,8.973,1.98,0.93-2.1
0.208,2.5500000000000003,1.611,6.108,1.534,1.13-2.1
0.208,2.66,1.344,5.953,1.815,0.87-1.82
0.208,2.7700000000000005,1.062,1.249,1.053,0.84-1.28
0.208,2.8800000000000003,1.218,1.234,0.912,1.0-1.44
0.208,2.99,1.282,1.89,1.073,1.01-1.55
0.276,2.0,2.387,15.818,1.667,1.61-3.17
0.276,2.11,2.159,10.926,1.531,1.51-2.81
0.276,2.22,1.902,13.263,1.915,1.19-2.62
0.276,2.33,2.413,16.217,1.669,1.62-3.2
0.276,2.44,1.539,7.605,1.792,1.0-2.08
0.276,2.5500000000000003,1.639,6.797,1.591,1.13-2.15
0.276,2.66,0.997,1.322,1.153,0.77-1.22
0.276,2.7700000000000005,1.214,2.733,1.362,0.89-1.54
0.276,2.8800000000000003,1.419,4.71,1.529,0.99-1.84
0.276,2.99,1.494,2.894,1.139,1.16-1.83
