Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,1.02,0.02,0.137,0.993-1.047
0.002,2.11,1.03,0.089,0.29,0.971-1.089
0.002,2.22,1.0,0.0,0.0,1.0-1.0
0.002,2.33,1.0,0.0,0.0,1.0-1.0
0.002,2.44,1.03,0.029,0.166,0.997-1.063
0.002,2.5500000000000003,1.0,0.0,0.0,1.0-1.0
0.002,2.66,1.0,0.0,0.0,1.0-1.0
0.002,2.7700000000000005,1.0,0.0,0.0,1.0-1.0
0.002,2.8800000000000003,1.0,0.0,0.0,1.0-1.0
0.002,2.99,1.0,0.0,0.0,1.0-1.0
0.071,2.0,4.68,1333.358,7.802,-2.477-11.837
0.071,2.11,6.49,964.51,4.785,0.403-12.577
0.071,2.22,6.29,704.806,4.221,1.087-11.493
0.071,2.33,1.13,0.433,0.582,1.001-1.259
0.071,2.44,1.16,1.234,0.958,0.942-1.378
0.071,2.5500000000000003,1.22,0.972,0.808,1.027-1.413
0.071,2.66,1.07,0.085,0.273,1.013-1.127
0.071,2.7700000000000005,1.02,0.02,0.137,0.993-1.047
0.071,2.8800000000000003,1.03,0.029,0.166,0.997-1.063
0.071,2.99,1.14,0.3,0.481,1.033-1.247
0.139,2.0,63.27,39536.057,3.143,24.298-102.242
0.139,2.11,32.78,13772.652,3.58,9.778-55.782
0.139,2.22,9.42,2227.844,5.011,0.169-18.671
0.139,2.33,9.37,1141.813,3.606,2.747-15.993
0.139,2.44,3.58,298.344,4.825,0.195-6.965
0.139,2.5500000000000003,2.39,50.498,2.973,0.997-3.783
0.139,2.66,1.38,2.416,1.126,1.075-1.685
0.139,2.7700000000000005,1.53,4.689,1.415,1.106-1.954
0.139,2.8800000000000003,1.43,3.425,1.294,1.067-1.793
0.139,2.99,1.21,0.646,0.664,1.052-1.368
0.208,2.0,158.09,132100.562,2.299,86.853-229.327
0.208,2.11,94.89,61484.058,2.613,46.29-143.49
0.208,2.22,43.06,17966.876,3.113,16.788-69.332
0.208,2.33,33.03,8208.589,2.743,15.272-50.788
0.208,2.44,9.44,1401.966,3.966,2.101-16.779
0.208,2.5500000000000003,6.71,602.046,3.657,1.901-11.519
0.208,2.66,2.55,77.728,3.457,0.822-4.278
0.208,2.7700000000000005,1.12,0.126,0.316,1.051-1.189
0.208,2.8800000000000003,1.51,1.75,0.876,1.251-1.769
0.208,2.99,1.58,2.724,1.045,1.257-1.903
0.276,2.0,194.57,197401.385,2.283,107.487-281.653
0.276,2.11,101.9,82917.95,2.826,45.461-158.339
0.276,2.22,59.21,39668.346,3.364,20.173-98.247
0.276,2.33,57.24,22028.542,2.593,28.15-86.33
0.276,2.44,10.12,2013.946,4.434,1.324-18.916
0.276,2.5500000000000003,6.98,1218.32,5.001,0.139-13.821
0.276,2.66,1.21,0.746,0.714,1.041-1.379
0.276,2.7700000000000005,2.04,19.198,2.148,1.181-2.899
0.276,2.8800000000000003,1.94,11.836,1.773,1.266-2.614
0.276,2.99,1.96,4.378,1.068,1.55-2.37
0.345,2.0,288.33,354540.041,2.065,171.625-405.035
0.345,2.11,168.52,173949.59,2.475,86.774-250.266
0.345,2.22,149.13,101065.453,2.132,86.82-211.44
0.345,2.33,102.93,53049.885,2.238,57.786-148.074
0.345,2.44,30.38,9482.716,3.205,11.294-49.466
0.345,2.5500000000000003,22.08,3234.074,2.576,10.934-33.226
0.345,2.66,8.48,812.81,3.362,2.892-14.068
0.345,2.7700000000000005,3.9,115.33,2.754,1.795-6.005
0.345,2.8800000000000003,2.23,13.357,1.639,1.514-2.946
0.345,2.99,1.88,5.926,1.295,1.403-2.357
0.413,2.0,403.6,489543.84,1.734,266.464-540.736
0.413,2.11,217.57,250220.665,2.299,119.527-315.613
0.413,2.22,133.52,111823.09,2.504,67.978-199.062
0.413,2.33,82.16,50272.214,2.729,38.214-126.106
0.413,2.44,36.48,13057.87,3.132,14.083-58.877
0.413,2.5500000000000003,24.34,5121.704,2.94,10.313-38.367
0.413,2.66,10.24,1206.402,3.392,3.432-17.048
0.413,2.7700000000000005,4.29,337.726,4.284,0.688-7.892
0.413,2.8800000000000003,3.43,136.985,3.412,1.136-5.724
0.413,2.99,1.9,4.85,1.159,1.468-2.332
0.482,2.0,612.91,768942.922,1.431,441.039-784.781
0.482,2.11,325.31,376995.914,1.887,204.966-445.654
0.482,2.22,228.69,223498.374,2.067,136.03-321.35
0.482,2.33,142.28,98174.282,2.202,80.868-203.692
0.482,2.44,126.07,52065.225,1.81,81.347-170.793
0.482,2.5500000000000003,55.44,17791.366,2.406,29.297-81.583
0.482,2.66,19.3,3731.91,3.165,7.326-31.274
0.482,2.7700000000000005,9.02,629.06,2.781,4.104-13.936
0.482,2.8800000000000003,5.61,217.598,2.629,2.719-8.501
0.482,2.99,2.83,47.121,2.426,1.485-4.175
0.55,2.0,627.5,836923.09,1.458,448.192-806.808
0.55,2.11,604.41,654780.962,1.339,445.81-763.01
0.55,2.22,306.7,283651.03,1.737,202.313-411.087
0.55,2.33,259.1,177008.55,1.624,176.638-341.562
0.55,2.44,162.82,72454.988,1.653,110.062-215.578
0.55,2.5500000000000003,43.45,12406.487,2.564,21.619-65.281
0.55,2.66,24.83,5597.781,3.013,10.166-39.494
0.55,2.7700000000000005,13.4,1181.48,2.565,6.663-20.137
0.55,2.8800000000000003,4.58,184.264,2.964,1.919-7.241
0.55,2.99,1.89,7.398,1.439,1.357-2.423
0.619,2.0,740.59,1120327.922,1.429,533.133-948.047
0.619,2.11,631.31,745079.954,1.367,462.127-800.493
0.619,2.22,386.39,405933.178,1.649,261.513-511.267
0.619,2.33,264.79,227289.626,1.8,171.347-358.233
0.619,2.44,220.02,115323.24,1.543,153.46-286.58
0.619,2.5500000000000003,141.48,50916.77,1.595,97.253-185.707
0.619,2.66,45.8,10196.94,2.205,26.008-65.592
0.619,2.7700000000000005,9.36,1468.95,4.095,1.848-16.872
0.619,2.8800000000000003,7.13,433.793,2.921,3.048-11.212
0.619,2.99,3.61,69.138,2.303,1.98-5.24
