Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.0,0,1,1,0.0697057098177
0.002,2.0,1,1,1,1.26393121786
0.002,2.0,10,1,1,1.64319520883
0.002,2.0,11,1,1,0.425546544899
0.002,2.0,12,1,1,1.26292147371
0.002,2.0,13,1,1,2.48081198273
0.002,2.0,14,1,1,0.9895927321789999
0.002,2.0,15,1,1,0.457060566201
0.002,2.0,16,1,1,0.812469499848
0.002,2.0,17,1,1,1.87285333249
0.002,2.0,18,1,1,0.0154173477677
0.002,2.0,19,1,1,0.670664031655
0.002,2.0,2,1,1,0.47170278251100006
0.002,2.0,20,1,1,0.8939697338879999
0.002,2.0,21,1,1,0.6843026346050001
0.002,2.0,22,1,1,0.9404816717059999
0.002,2.0,23,1,1,2.41694199155
0.002,2.0,24,1,1,1.7098454802399998
0.002,2.0,25,1,1,2.8556210588499997
0.002,2.0,26,1,1,1.5416018629
0.002,2.0,27,1,1,1.4832498795500002
0.002,2.0,28,1,1,1.18690040191
0.002,2.0,29,1,1,0.00714824740108
0.002,2.0,3,1,1,4.10757994284
0.002,2.0,30,1,1,0.520541691331
0.002,2.0,31,2,2,3.17183257057
0.002,2.0,32,1,1,0.031622998799400004
0.002,2.0,33,1,1,0.248449746043
0.002,2.0,34,1,1,0.540658424277
0.002,2.0,35,1,1,0.325612306658
0.002,2.0,36,1,1,1.32077955264
0.002,2.0,37,1,1,1.8296582045400003
0.002,2.0,38,1,1,0.654224327734
0.002,2.0,39,1,1,0.653143380758
0.002,2.0,4,1,1,0.290429043009
0.002,2.0,40,1,1,0.28231116902
0.002,2.0,41,1,1,0.0978334972842
0.002,2.0,42,1,1,0.724109863867
0.002,2.0,43,1,1,1.09695945582
0.002,2.0,44,1,1,0.720066796362
0.002,2.0,45,1,1,1.21018065214
0.002,2.0,46,1,1,3.4154500532300003
0.002,2.0,47,1,1,0.13466012445699999
0.002,2.0,48,1,1,0.648280254864
0.002,2.0,49,1,1,0.575716855246
0.002,2.0,5,1,1,0.60395035659
0.002,2.0,50,1,1,0.113653736448
0.002,2.0,51,1,1,0.914042572182
0.002,2.0,52,1,1,3.1238000936900003
0.002,2.0,53,1,1,2.23257508965
0.002,2.0,54,1,1,2.1180861316999997
0.002,2.0,55,1,1,1.5295465694
0.002,2.0,56,1,1,3.24980904885
0.002,2.0,57,1,1,2.05844765063
0.002,2.0,58,1,1,0.9266856562829999
0.002,2.0,59,1,1,0.21297591479000003
0.002,2.0,6,1,1,0.588912423234
0.002,2.0,60,1,1,0.607836202726
0.002,2.0,61,1,1,0.356488858722
0.002,2.0,62,1,1,1.31295650234
0.002,2.0,63,1,1,0.343640653869
0.002,2.0,64,1,1,0.24824030243700002
0.002,2.0,65,1,1,0.185102949102
0.002,2.0,66,1,1,0.0794956056177
0.002,2.0,67,1,1,0.151598897489
0.002,2.0,68,1,1,0.233713599837
0.002,2.0,69,1,1,0.9785344042640001
0.002,2.0,7,1,1,1.7129159499899997
0.002,2.0,70,1,1,0.40504303639399997
0.002,2.0,71,1,1,0.24756687375199998
0.002,2.0,72,1,1,1.1047473894700002
0.002,2.0,73,1,1,0.19055927148
0.002,2.0,74,1,1,0.207974196806
0.002,2.0,75,1,1,0.9418812783570001
0.002,2.0,76,1,1,1.6020544884
0.002,2.0,77,1,1,0.499727583368
0.002,2.0,78,1,1,1.13626303755
0.002,2.0,79,1,1,1.02504974208
0.002,2.0,8,1,1,1.7587253087299999
0.002,2.0,80,1,1,3.34264651205
0.002,2.0,81,1,1,0.334609017334
0.002,2.0,82,1,1,1.8599278867200002
0.002,2.0,83,2,2,2.77155512468
0.002,2.0,84,1,1,0.503877756515
0.002,2.0,85,1,1,2.05752325029
0.002,2.0,86,1,1,1.18149751088
0.002,2.0,87,1,1,0.502605487901
0.002,2.0,88,1,1,0.82146757516
0.002,2.0,89,1,1,2.3094138947
0.002,2.0,9,1,1,1.69146651932
0.002,2.0,90,1,1,0.863588984425
0.002,2.0,91,1,1,1.33037633534
0.002,2.0,92,1,1,0.36278525676
0.002,2.0,93,1,1,1.23299916374
0.002,2.0,94,1,1,2.41999192249
0.002,2.0,95,1,1,0.45335804926000006
0.002,2.0,96,1,1,1.17712334722
0.002,2.0,97,1,1,1.6567224634200002
0.002,2.0,98,1,1,2.58720420015
0.002,2.0,99,1,1,0.872130756576
0.002,2.11,0,1,1,0.301238217272
0.002,2.11,1,1,1,0.897839858046
0.002,2.11,10,1,1,2.49951659213
0.002,2.11,11,1,1,1.07511492358
0.002,2.11,12,1,1,0.530060252874
0.002,2.11,13,1,1,0.37660905156400004
0.002,2.11,14,1,1,2.19471318867
0.002,2.11,15,1,1,0.9104122553280001
0.002,2.11,16,1,1,0.738135670352
0.002,2.11,17,1,1,1.75238209034
0.002,2.11,18,1,1,1.96425752157
0.002,2.11,19,1,1,0.3693175157
0.002,2.11,2,1,1,0.412454132457
0.002,2.11,20,1,1,0.659135188111
0.002,2.11,21,1,1,2.00841264552
0.002,2.11,22,1,1,0.151175487942
0.002,2.11,23,1,1,1.5534417554
0.002,2.11,24,4,7,2.8731675823100002
0.002,2.11,25,1,1,0.720047253072
0.002,2.11,26,1,1,1.40905393704
0.002,2.11,27,1,1,0.6857217472050001
0.002,2.11,28,1,1,0.455235692355
0.002,2.11,29,1,1,2.5642980486400004
0.002,2.11,3,1,1,1.53918040336
0.002,2.11,30,1,1,2.3352704220400002
0.002,2.11,31,1,1,0.842550291758
0.002,2.11,32,1,1,0.6657962173309999
0.002,2.11,33,1,1,0.467267271517
0.002,2.11,34,1,1,1.4119807085
0.002,2.11,35,1,1,1.38561762701
0.002,2.11,36,1,1,1.4172698792200003
0.002,2.11,37,1,1,2.92450237239
0.002,2.11,38,1,1,0.34832688769599995
0.002,2.11,39,1,1,0.0625827815998
0.002,2.11,4,1,1,5.08041855292
0.002,2.11,40,1,1,0.265400760605
0.002,2.11,41,1,1,0.848851856711
0.002,2.11,42,1,1,0.8673877136560001
0.002,2.11,43,1,1,0.332414138819
0.002,2.11,44,1,1,0.46424236080799997
0.002,2.11,45,1,1,0.57771297651
0.002,2.11,46,1,1,2.49945151315
0.002,2.11,47,1,1,0.38243544290700004
0.002,2.11,48,1,1,0.363214385456
0.002,2.11,49,1,1,1.30067420978
0.002,2.11,5,1,1,1.63108875999
0.002,2.11,50,1,1,0.826015414721
