Beta,Alpha,Average_FinalTime
0.002,2.0,1.121
0.002,2.11,0.966
0.002,2.22,1.072
0.002,2.33,0.983
0.002,2.44,1.056
0.002,2.5500000000000003,1.158
0.002,2.66,0.86
0.002,2.7700000000000005,1.029
0.002,2.8800000000000003,0.943
0.002,2.99,0.955
0.071,2.0,1.104
0.071,2.11,1.317
0.071,2.22,1.472
0.071,2.33,0.972
0.071,2.44,1.138
0.071,2.5500000000000003,0.984
0.071,2.66,1.061
0.071,2.7700000000000005,0.846
0.071,2.8800000000000003,1.087
0.071,2.99,0.918
0.139,2.0,1.935
0.139,2.11,1.874
0.139,2.22,1.421
0.139,2.33,1.624
0.139,2.44,1.387
0.139,2.5500000000000003,1.399
0.139,2.66,1.06
0.139,2.7700000000000005,1.102
0.139,2.8800000000000003,1.233
0.139,2.99,1.206
0.208,2.0,2.674
0.208,2.11,2.318
0.208,2.22,2.078
0.208,2.33,2.563
0.208,2.44,1.513
0.208,2.5500000000000003,1.611
0.208,2.66,1.344
0.208,2.7700000000000005,1.062
0.208,2.8800000000000003,1.218
0.208,2.99,1.282
0.276,2.0,2.387
0.276,2.11,2.159
0.276,2.22,1.902
0.276,2.33,2.413
0.276,2.44,1.539
0.276,2.5500000000000003,1.639
0.276,2.66,0.997
0.276,2.7700000000000005,1.214
0.276,2.8800000000000003,1.419
0.276,2.99,1.494
0.345,2.0,2.732
0.345,2.11,2.271
0.345,2.22,2.788
0.345,2.33,3.044
0.345,2.44,2.222
0.345,2.5500000000000003,2.815
0.345,2.66,1.996
0.345,2.7700000000000005,1.699
0.345,2.8800000000000003,1.411
0.345,2.99,1.151
0.413,2.0,3.249
0.413,2.11,2.453
0.413,2.22,2.556
0.413,2.33,2.358
0.413,2.44,2.221
0.413,2.5500000000000003,2.446
0.413,2.66,1.994
0.413,2.7700000000000005,1.394
0.413,2.8800000000000003,1.45
0.413,2.99,1.426
0.482,2.0,4.057
0.482,2.11,3.326
0.482,2.22,2.913
0.482,2.33,2.776
0.482,2.44,3.882
0.482,2.5500000000000003,2.833
0.482,2.66,2.312
0.482,2.7700000000000005,2.144
0.482,2.8800000000000003,2.121
0.482,2.99,1.597
0.55,2.0,4.029
0.55,2.11,4.547
0.55,2.22,3.495
0.55,2.33,3.863
0.55,2.44,4.05
0.55,2.5500000000000003,2.798
0.55,2.66,2.386
0.55,2.7700000000000005,2.759
0.55,2.8800000000000003,1.563
0.55,2.99,1.165
0.619,2.0,3.992
0.619,2.11,4.311
0.619,2.22,3.626
0.619,2.33,3.556
0.619,2.44,4.308
0.619,2.5500000000000003,4.364
0.619,2.66,3.398
0.619,2.7700000000000005,1.7
0.619,2.8800000000000003,2.295
0.619,2.99,1.456
