Beta,Alpha,Average_EventInf
0.002,2.0,1
0.002,2.11,1
0.002,2.22,1
0.002,2.33,1
0.002,2.44,1
0.002,2.5500000000000003,1
0.002,2.66,1
0.002,2.7700000000000005,1
0.002,2.8800000000000003,1
0.002,2.99,1
0.071,2.0,12
0.071,2.11,22
0.071,2.22,20
0.071,2.33,1
0.071,2.44,1
0.071,2.5500000000000003,1
0.071,2.66,1
0.071,2.7700000000000005,1
0.071,2.8800000000000003,1
0.071,2.99,1
0.139,2.0,171
0.139,2.11,97
0.139,2.22,28
0.139,2.33,31
0.139,2.44,8
0.139,2.5500000000000003,5
0.139,2.66,2
0.139,2.7700000000000005,2
0.139,2.8800000000000003,2
0.139,2.99,1
0.208,2.0,393
0.208,2.11,269
0.208,2.22,133
0.208,2.33,116
0.208,2.44,31
0.208,2.5500000000000003,22
0.208,2.66,6
0.208,2.7700000000000005,1
0.208,2.8800000000000003,2
0.208,2.99,2
0.276,2.0,474
0.276,2.11,270
0.276,2.22,168
0.276,2.33,182
0.276,2.44,36
0.276,2.5500000000000003,22
0.276,2.66,1
0.276,2.7700000000000005,3
0.276,2.8800000000000003,3
0.276,2.99,3
0.345,2.0,662
0.345,2.11,423
0.345,2.22,410
0.345,2.33,303
0.345,2.44,103
0.345,2.5500000000000003,86
0.345,2.66,30
0.345,2.7700000000000005,10
0.345,2.8800000000000003,3
0.345,2.99,2
0.413,2.0,942
0.413,2.11,527
0.413,2.22,359
0.413,2.33,239
0.413,2.44,121
0.413,2.5500000000000003,91
0.413,2.66,37
0.413,2.7700000000000005,10
0.413,2.8800000000000003,8
0.413,2.99,2
0.482,2.0,1379
0.482,2.11,780
0.482,2.22,574
0.482,2.33,393
0.482,2.44,391
0.482,2.5500000000000003,184
0.482,2.66,65
0.482,2.7700000000000005,29
0.482,2.8800000000000003,14
0.482,2.99,6
0.55,2.0,1381
0.55,2.11,1392
0.55,2.22,763
0.55,2.33,695
0.55,2.44,499
0.55,2.5500000000000003,157
0.55,2.66,92
0.55,2.7700000000000005,52
0.55,2.8800000000000003,12
0.55,2.99,2
0.619,2.0,1607
0.619,2.11,1439
0.619,2.22,928
0.619,2.33,681
0.619,2.44,624
0.619,2.5500000000000003,436
0.619,2.66,168
0.619,2.7700000000000005,26
0.619,2.8800000000000003,24
0.619,2.99,6
