Beta,Alpha,Average_MaxInf
0.002,2.0,1.02
0.002,2.11,1.03
0.002,2.22,1.0
0.002,2.33,1.0
0.002,2.44,1.03
0.002,2.5500000000000003,1.0
0.002,2.66,1.0
0.002,2.7700000000000005,1.0
0.002,2.8800000000000003,1.0
0.002,2.99,1.0
0.071,2.0,4.68
0.071,2.11,6.49
0.071,2.22,6.29
0.071,2.33,1.13
0.071,2.44,1.16
0.071,2.5500000000000003,1.22
0.071,2.66,1.07
0.071,2.7700000000000005,1.02
0.071,2.8800000000000003,1.03
0.071,2.99,1.14
0.139,2.0,63.27
0.139,2.11,32.78
0.139,2.22,9.42
0.139,2.33,9.37
0.139,2.44,3.58
0.139,2.5500000000000003,2.39
0.139,2.66,1.38
0.139,2.7700000000000005,1.53
0.139,2.8800000000000003,1.43
0.139,2.99,1.21
0.208,2.0,158.09
0.208,2.11,94.89
0.208,2.22,43.06
0.208,2.33,33.03
0.208,2.44,9.44
0.208,2.5500000000000003,6.71
0.208,2.66,2.55
0.208,2.7700000000000005,1.12
0.208,2.8800000000000003,1.51
0.208,2.99,1.58
0.276,2.0,194.57
0.276,2.11,101.9
0.276,2.22,59.21
0.276,2.33,57.24
0.276,2.44,10.12
0.276,2.5500000000000003,6.98
0.276,2.66,1.21
0.276,2.7700000000000005,2.04
0.276,2.8800000000000003,1.94
0.276,2.99,1.96
0.345,2.0,288.33
0.345,2.11,168.52
0.345,2.22,149.13
0.345,2.33,102.93
0.345,2.44,30.38
0.345,2.5500000000000003,22.08
0.345,2.66,8.48
0.345,2.7700000000000005,3.9
0.345,2.8800000000000003,2.23
0.345,2.99,1.88
0.413,2.0,403.6
0.413,2.11,217.57
0.413,2.22,133.52
0.413,2.33,82.16
0.413,2.44,36.48
0.413,2.5500000000000003,24.34
0.413,2.66,10.24
0.413,2.7700000000000005,4.29
0.413,2.8800000000000003,3.43
0.413,2.99,1.9
0.482,2.0,612.91
0.482,2.11,325.31
0.482,2.22,228.69
0.482,2.33,142.28
0.482,2.44,126.07
0.482,2.5500000000000003,55.44
0.482,2.66,19.3
0.482,2.7700000000000005,9.02
0.482,2.8800000000000003,5.61
0.482,2.99,2.83
0.55,2.0,627.5
0.55,2.11,604.41
0.55,2.22,306.7
0.55,2.33,259.1
0.55,2.44,162.82
0.55,2.5500000000000003,43.45
0.55,2.66,24.83
0.55,2.7700000000000005,13.4
0.55,2.8800000000000003,4.58
0.55,2.99,1.89
0.619,2.0,740.59
0.619,2.11,631.31
0.619,2.22,386.39
0.619,2.33,264.79
0.619,2.44,220.02
0.619,2.5500000000000003,141.48
0.619,2.66,45.8
0.619,2.7700000000000005,9.36
0.619,2.8800000000000003,7.13
0.619,2.99,3.61
