Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,1.0,0.0,0.0,1.0-1.0
0.002,2.11,1.0,0.0,0.0,1.0-1.0
0.002,2.22,1.0,0.0,0.0,1.0-1.0
0.002,2.33,1.01,0.01,0.099,0.99-1.03
0.002,2.44,1.0,0.0,0.0,1.0-1.0
0.002,2.55,1.0,0.0,0.0,1.0-1.0
0.002,2.66,1.01,0.01,0.099,0.99-1.03
0.002,2.77,1.02,0.02,0.137,0.99-1.05
0.002,2.88,1.0,0.0,0.0,1.0-1.0
0.002,2.99,1.01,0.01,0.099,0.99-1.03
0.071,2.0,55.91,48269.042,3.93,12.85-98.97
0.071,2.11,8.67,5702.141,8.71,-6.13-23.47
0.071,2.22,26.13,11113.073,4.034,5.47-46.79
0.071,2.33,5.12,682.466,5.102,-0.0-10.24
0.071,2.44,2.07,38.705,3.005,0.85-3.29
0.071,2.55,1.73,12.197,2.019,1.05-2.41
0.071,2.66,1.27,0.877,0.737,1.09-1.45
0.071,2.77,1.23,0.357,0.486,1.11-1.35
0.071,2.88,1.21,1.506,1.014,0.97-1.45
0.071,2.99,1.09,0.142,0.346,1.02-1.16
0.139,2.0,343.71,589752.246,2.234,193.19-494.23
0.139,2.11,235.71,295000.146,2.304,129.25-342.17
0.139,2.22,92.83,87268.721,3.182,34.93-150.73
0.139,2.33,45.04,27905.858,3.709,12.3-77.78
0.139,2.44,20.21,7218.626,4.204,3.56-36.86
0.139,2.55,2.86,199.86,4.943,0.09-5.63
0.139,2.66,3.61,370.158,5.329,-0.16-7.38
0.139,2.77,1.58,5.224,1.447,1.13-2.03
0.139,2.88,1.5,3.13,1.179,1.15-1.85
0.139,2.99,1.53,2.449,1.023,1.22-1.84
0.208,2.0,460.97,988683.049,2.157,266.08-655.86
0.208,2.11,399.01,642406.47,2.009,241.92-556.1
0.208,2.22,370.52,416463.33,1.742,244.03-497.01
0.208,2.33,88.87,93185.773,3.435,29.04-148.7
0.208,2.44,25.72,15988.982,4.916,0.94-50.5
0.208,2.55,26.1,9577.19,3.75,6.92-45.28
0.208,2.66,2.8,156.36,4.466,0.35-5.25
0.208,2.77,2.75,44.087,2.414,1.45-4.05
0.208,2.88,3.35,185.587,4.067,0.68-6.02
0.208,2.99,1.86,11.58,1.83,1.19-2.53
