Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,0.982,0.922,0.977,0.79-1.17
0.002,2.11,1.16,1.676,1.116,0.91-1.41
0.002,2.22,0.928,0.915,1.031,0.74-1.12
0.002,2.33,0.99,1.151,1.083,0.78-1.2
0.002,2.44,0.962,0.685,0.861,0.8-1.12
0.002,2.55,0.989,1.048,1.035,0.79-1.19
0.002,2.66,1.032,1.024,0.981,0.83-1.23
0.002,2.77,1.039,0.809,0.866,0.86-1.22
0.002,2.88,1.094,1.057,0.94,0.89-1.3
0.002,2.99,1.101,1.04,0.926,0.9-1.3
0.071,2.0,1.759,8.307,1.639,1.19-2.32
0.071,2.11,1.096,2.212,1.357,0.8-1.39
0.071,2.22,1.895,10.979,1.749,1.25-2.54
0.071,2.33,1.274,2.669,1.283,0.95-1.59
0.071,2.44,1.12,2.307,1.356,0.82-1.42
0.071,2.55,1.202,1.519,1.025,0.96-1.44
0.071,2.66,1.115,1.523,1.107,0.87-1.36
0.071,2.77,1.068,1.282,1.06,0.85-1.29
0.071,2.88,1.044,1.219,1.058,0.83-1.26
0.071,2.99,0.972,1.218,1.135,0.76-1.19
0.139,2.0,2.835,18.883,1.533,1.98-3.69
0.139,2.11,2.591,18.318,1.652,1.75-3.43
0.139,2.22,2.074,14.3,1.823,1.33-2.82
0.139,2.33,1.871,8.919,1.596,1.29-2.46
0.139,2.44,1.751,8.231,1.638,1.19-2.31
0.139,2.55,1.234,1.924,1.124,0.96-1.51
0.139,2.66,1.476,3.712,1.305,1.1-1.85
0.139,2.77,1.119,1.198,0.978,0.9-1.33
0.139,2.88,1.378,3.087,1.275,1.03-1.72
0.139,2.99,1.24,1.925,1.119,0.97-1.51
0.208,2.0,2.774,19.772,1.603,1.9-3.65
0.208,2.11,2.946,20.596,1.541,2.06-3.84
0.208,2.22,3.8,24.336,1.298,2.83-4.77
0.208,2.33,1.973,12.24,1.773,1.29-2.66
0.208,2.44,1.771,8.079,1.605,1.21-2.33
0.208,2.55,1.92,11.107,1.736,1.27-2.57
0.208,2.66,1.042,1.848,1.304,0.78-1.31
0.208,2.77,1.579,3.721,1.222,1.2-1.96
0.208,2.88,1.52,3.549,1.24,1.15-1.89
0.208,2.99,1.269,2.414,1.224,0.96-1.57
0.276,2.0,4.086,24.053,1.2,3.12-5.05
0.276,2.11,2.555,13.481,1.437,1.84-3.27
0.276,2.22,2.593,16.426,1.563,1.8-3.39
0.276,2.33,3.289,22.622,1.446,2.36-4.22
0.276,2.44,3.269,23.647,1.488,2.32-4.22
0.276,2.55,2.445,17.155,1.694,1.63-3.26
0.276,2.66,0.992,1.004,1.01,0.8-1.19
0.276,2.77,1.499,3.071,1.169,1.16-1.84
0.276,2.88,1.409,2.334,1.084,1.11-1.71
0.276,2.99,1.238,1.577,1.014,0.99-1.48
0.345,2.0,3.322,21.682,1.402,2.41-4.23
0.345,2.11,4.371,26.054,1.168,3.37-5.37
0.345,2.22,3.619,22.363,1.307,2.69-4.55
0.345,2.33,2.983,20.902,1.533,2.09-3.88
0.345,2.44,3.334,20.189,1.348,2.45-4.21
0.345,2.55,2.861,18.088,1.486,2.03-3.7
0.345,2.66,1.878,8.11,1.517,1.32-2.44
0.345,2.77,1.566,3.142,1.132,1.22-1.91
0.345,2.88,1.862,5.36,1.243,1.41-2.32
0.345,2.99,1.413,2.345,1.084,1.11-1.71
0.413,2.0,4.919,27.473,1.065,3.89-5.95
0.413,2.11,4.651,26.08,1.098,3.65-5.65
0.413,2.22,3.937,27.269,1.326,2.91-4.96
0.413,2.33,3.467,22.612,1.372,2.53-4.4
0.413,2.44,2.985,19.473,1.478,2.12-3.85
0.413,2.55,2.702,20.685,1.683,1.81-3.59
0.413,2.66,2.256,11.627,1.511,1.59-2.92
0.413,2.77,1.86,9.65,1.67,1.25-2.47
0.413,2.88,1.395,2.667,1.171,1.08-1.72
0.413,2.99,1.567,3.601,1.211,1.19-1.94
0.482,2.0,5.69,29.298,0.951,4.63-6.75
0.482,2.11,5.197,28.011,1.018,4.16-6.23
0.482,2.22,4.017,24.779,1.239,3.04-4.99
0.482,2.33,3.21,20.508,1.411,2.32-4.1
0.482,2.44,3.805,27.227,1.371,2.78-4.83
0.482,2.55,3.739,27.119,1.393,2.72-4.76
0.482,2.66,2.784,18.304,1.537,1.95-3.62
0.482,2.77,1.647,6.395,1.535,1.15-2.14
0.482,2.88,1.371,2.79,1.219,1.04-1.7
0.482,2.99,1.46,3.471,1.276,1.09-1.83
0.55,2.0,5.591,27.85,0.944,4.56-6.63
0.55,2.11,4.958,25.954,1.028,3.96-5.96
0.55,2.22,3.881,26.009,1.314,2.88-4.88
0.55,2.33,4.318,24.781,1.153,3.34-5.29
0.55,2.44,3.921,27.026,1.326,2.9-4.94
0.55,2.55,4.228,28.895,1.271,3.17-5.28
0.55,2.66,3.979,29.987,1.376,2.91-5.05
0.55,2.77,2.549,10.741,1.286,1.91-3.19
0.55,2.88,2.218,7.187,1.209,1.69-2.74
0.55,2.99,1.942,5.524,1.211,1.48-2.4
0.619,2.0,5.25,26.494,0.98,4.24-6.26
0.619,2.11,4.738,25.727,1.071,3.74-5.73
0.619,2.22,4.826,24.464,1.025,3.86-5.8
0.619,2.33,4.393,26.994,1.183,3.37-5.41
0.619,2.44,3.05,21.217,1.51,2.15-3.95
0.619,2.55,3.965,26.756,1.305,2.95-4.98
0.619,2.66,2.68,13.211,1.356,1.97-3.39
0.619,2.77,2.846,15.011,1.361,2.09-3.61
0.619,2.88,1.846,6.008,1.328,1.37-2.33
0.619,2.99,1.651,5.408,1.408,1.2-2.11
