Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,1.0,0.0,0.0,1.0-1.0
0.002,2.11,1.0,0.0,0.0,1.0-1.0
0.002,2.22,1.0,0.0,0.0,1.0-1.0
0.002,2.33,1.01,0.01,0.099,0.99-1.03
0.002,2.44,1.0,0.0,0.0,1.0-1.0
0.002,2.55,1.0,0.0,0.0,1.0-1.0
0.002,2.66,1.01,0.01,0.099,0.99-1.03
0.002,2.77,1.02,0.02,0.137,0.993-1.047
0.002,2.88,1.0,0.0,0.0,1.0-1.0
0.002,2.99,1.01,0.01,0.099,0.99-1.03
0.071,2.0,18.74,5150.252,3.83,4.674-32.806
0.071,2.11,3.5,584.35,6.907,-1.238-8.238
0.071,2.22,7.58,768.444,3.657,2.147-13.013
0.071,2.33,2.58,79.944,3.466,0.828-4.332
0.071,2.44,1.58,8.684,1.865,1.002-2.158
0.071,2.55,1.49,4.15,1.367,1.091-1.889
0.071,2.66,1.2,0.42,0.54,1.073-1.327
0.071,2.77,1.2,0.26,0.425,1.1-1.3
0.071,2.88,1.15,0.448,0.582,1.019-1.281
0.071,2.99,1.08,0.094,0.283,1.02-1.14
0.139,2.0,126.27,77740.857,2.208,71.621-180.919
0.139,2.11,81.95,35244.247,2.291,45.154-118.746
0.139,2.22,29.07,8294.625,3.133,11.219-46.921
0.139,2.33,12.87,2054.473,3.522,3.986-21.754
0.139,2.44,5.55,421.867,3.701,1.524-9.576
0.139,2.55,1.81,24.074,2.711,0.848-2.772
0.139,2.66,1.96,25.798,2.591,0.964-2.956
0.139,2.77,1.41,1.642,0.909,1.159-1.661
0.139,2.88,1.35,1.028,0.751,1.151-1.549
0.139,2.99,1.4,1.28,0.808,1.178-1.622
0.208,2.0,177.68,143423.078,2.131,103.452-251.908
0.208,2.11,148.23,87747.117,1.998,90.171-206.289
0.208,2.22,122.52,46028.99,1.751,80.469-164.571
0.208,2.33,26.74,8392.092,3.426,8.785-44.695
0.208,2.44,7.77,1124.597,4.316,1.197-14.343
0.208,2.55,7.63,614.053,3.248,2.773-12.487
0.208,2.66,1.78,14.032,2.104,1.046-2.514
0.208,2.77,1.89,8.578,1.55,1.316-2.464
0.208,2.88,2.05,16.567,1.986,1.252-2.848
0.208,2.99,1.52,2.69,1.079,1.199-1.841
