Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.0,0,1,1,3.1836478312700005
0.002,2.0,1,1,1,0.656652753555
0.002,2.0,10,1,1,2.3719630664599998
0.002,2.0,11,1,1,0.31163849863000004
0.002,2.0,12,1,1,1.0003685395100002
0.002,2.0,13,1,1,0.23311754240600002
0.002,2.0,14,1,1,0.225556465133
0.002,2.0,15,1,1,0.959774050442
0.002,2.0,16,1,1,0.0567139170309
0.002,2.0,17,1,1,3.63832764296
0.002,2.0,18,1,1,0.439809782155
0.002,2.0,19,1,1,1.51969979532
0.002,2.0,2,1,1,1.7083192140099999
0.002,2.0,20,1,1,1.86062679246
0.002,2.0,21,1,1,0.402042810393
0.002,2.0,22,1,1,0.650947145836
0.002,2.0,23,1,1,0.34725704134499996
0.002,2.0,24,1,1,0.6343194222
0.002,2.0,25,1,1,0.28652452506
0.002,2.0,26,1,1,0.6916301944650001
0.002,2.0,27,1,1,0.138771421087
0.002,2.0,28,1,1,1.79044745694
0.002,2.0,29,1,1,0.8074626959110001
0.002,2.0,3,1,1,1.35140727683
0.002,2.0,30,1,1,0.133057151999
0.002,2.0,31,1,1,0.382355043182
0.002,2.0,32,1,1,0.156587586635
0.002,2.0,33,1,1,1.23307182773
0.002,2.0,34,1,1,0.7525947957860001
0.002,2.0,35,1,1,0.280813494397
0.002,2.0,36,1,1,0.838314724289
0.002,2.0,37,1,1,0.557596689446
0.002,2.0,38,1,1,2.58531392903
0.002,2.0,39,1,1,1.9474169635099998
0.002,2.0,4,1,1,0.9705856953190001
0.002,2.0,40,1,1,0.320365191941
0.002,2.0,41,1,1,1.10448733511
0.002,2.0,42,1,1,0.911192620508
0.002,2.0,43,1,1,1.6192966483200002
0.002,2.0,44,1,1,1.11269902385
0.002,2.0,45,1,1,1.4496222581600002
0.002,2.0,46,1,1,0.09778153836850001
0.002,2.0,47,1,1,0.5880661335949999
0.002,2.0,48,1,1,0.346010663269
0.002,2.0,49,1,1,1.3716715718299999
0.002,2.0,5,1,1,0.161459048413
0.002,2.0,50,1,1,2.71217730454
0.002,2.0,51,1,1,1.2529988667299998
0.002,2.0,52,1,1,0.409700604949
0.002,2.0,53,1,1,0.398548004469
0.002,2.0,54,1,1,0.196462708944
0.002,2.0,55,1,1,0.400815682708
0.002,2.0,56,1,1,2.47436594595
0.002,2.0,57,1,1,0.0785136796483
0.002,2.0,58,1,1,0.0872036997783
0.002,2.0,59,1,1,0.18889961155699997
0.002,2.0,6,1,1,0.9889206060819999
0.002,2.0,60,1,1,1.36629082561
0.002,2.0,61,1,1,1.72344931104
0.002,2.0,62,1,1,4.559114762819999
0.002,2.0,63,1,1,0.7007555129790001
0.002,2.0,64,1,1,0.761132404568
0.002,2.0,65,1,1,0.0785987110427
0.002,2.0,66,1,1,3.48479414089
0.002,2.0,67,1,1,0.236129545561
0.002,2.0,68,1,1,3.2175567464899997
0.002,2.0,69,1,1,1.02490642567
0.002,2.0,7,1,1,0.44403891965099995
0.002,2.0,70,1,1,0.459624924287
0.002,2.0,71,1,1,1.5648254131600001
0.002,2.0,72,1,1,0.504372625217
0.002,2.0,73,1,1,0.576055774218
0.002,2.0,74,1,1,0.0210823546997
0.002,2.0,75,1,1,0.923459756375
0.002,2.0,76,1,1,0.309014080844
0.002,2.0,77,1,1,1.4250026070200001
0.002,2.0,78,1,1,0.00906649403073
0.002,2.0,79,1,1,0.252554499218
0.002,2.0,8,1,1,0.594482034039
0.002,2.0,80,1,1,1.28030030755
0.002,2.0,81,1,1,0.300952432438
0.002,2.0,82,1,1,0.07513185999689999
0.002,2.0,83,1,1,3.4232188647500004
0.002,2.0,84,1,1,1.17641977516
0.002,2.0,85,1,1,0.0539625403239
0.002,2.0,86,1,1,2.2353057339599998
0.002,2.0,87,1,1,3.75950194919
0.002,2.0,88,1,1,1.01725108362
0.002,2.0,89,1,1,0.962446523199
0.002,2.0,9,1,1,0.0409610530881
0.002,2.0,90,1,1,1.17110424551
0.002,2.0,91,1,1,0.242919204383
0.002,2.0,92,1,1,1.01664042634
0.002,2.0,93,1,1,0.06916160806189998
0.002,2.0,94,1,1,0.0446125644549
0.002,2.0,95,1,1,1.09994815376
0.002,2.0,96,1,1,0.47404423884900004
0.002,2.0,97,1,1,0.540588304452
0.002,2.0,98,1,1,0.39342000165
0.002,2.0,99,1,1,1.2336690302700002
