Beta,Alpha,Average_FinalTime
0.002,2.0,0.982
0.002,2.11,1.16
0.002,2.22,0.928
0.002,2.33,0.99
0.002,2.44,0.962
0.002,2.55,0.989
0.002,2.66,1.032
0.002,2.77,1.039
0.002,2.88,1.094
0.002,2.99,1.101
0.071,2.0,1.759
0.071,2.11,1.096
0.071,2.22,1.895
0.071,2.33,1.274
0.071,2.44,1.12
0.071,2.55,1.202
0.071,2.66,1.115
0.071,2.77,1.068
0.071,2.88,1.044
0.071,2.99,0.972
0.139,2.0,2.835
0.139,2.11,2.591
0.139,2.22,2.074
0.139,2.33,1.871
0.139,2.44,1.751
0.139,2.55,1.234
0.139,2.66,1.476
0.139,2.77,1.119
0.139,2.88,1.378
0.139,2.99,1.24
0.208,2.0,2.774
0.208,2.11,2.946
0.208,2.22,3.8
0.208,2.33,1.973
0.208,2.44,1.771
0.208,2.55,1.92
0.208,2.66,1.042
0.208,2.77,1.579
0.208,2.88,1.52
0.208,2.99,1.269
0.276,2.0,4.086
0.276,2.11,2.555
0.276,2.22,2.593
0.276,2.33,3.289
0.276,2.44,3.269
0.276,2.55,2.445
0.276,2.66,0.992
0.276,2.77,1.499
0.276,2.88,1.409
0.276,2.99,1.238
0.345,2.0,3.322
0.345,2.11,4.371
0.345,2.22,3.619
0.345,2.33,2.983
0.345,2.44,3.334
0.345,2.55,2.861
0.345,2.66,1.878
0.345,2.77,1.566
0.345,2.88,1.862
0.345,2.99,1.413
0.413,2.0,4.919
0.413,2.11,4.651
0.413,2.22,3.937
0.413,2.33,3.467
0.413,2.44,2.985
0.413,2.55,2.702
0.413,2.66,2.256
0.413,2.77,1.86
0.413,2.88,1.395
0.413,2.99,1.567
0.482,2.0,5.69
0.482,2.11,5.197
0.482,2.22,4.017
0.482,2.33,3.21
0.482,2.44,3.805
0.482,2.55,3.739
0.482,2.66,2.784
0.482,2.77,1.647
0.482,2.88,1.371
0.482,2.99,1.46
0.55,2.0,5.591
0.55,2.11,4.958
0.55,2.22,3.881
0.55,2.33,4.318
0.55,2.44,3.921
0.55,2.55,4.228
0.55,2.66,3.979
0.55,2.77,2.549
0.55,2.88,2.218
0.55,2.99,1.942
0.619,2.0,5.25
0.619,2.11,4.738
0.619,2.22,4.826
0.619,2.33,4.393
0.619,2.44,3.05
0.619,2.55,3.965
0.619,2.66,2.68
0.619,2.77,2.846
0.619,2.88,1.846
0.619,2.99,1.651
