Beta,Alpha,Average_EventInf
0.002,2.0,1
0.002,2.11,1
0.002,2.22,1
0.002,2.33,1
0.002,2.44,1
0.002,2.55,1
0.002,2.66,1
0.002,2.77,1
0.002,2.88,1
0.002,2.99,1
0.071,2.0,56
0.071,2.11,9
0.071,2.22,26
0.071,2.33,5
0.071,2.44,2
0.071,2.55,2
0.071,2.66,1
0.071,2.77,1
0.071,2.88,1
0.071,2.99,1
0.139,2.0,344
0.139,2.11,236
0.139,2.22,93
0.139,2.33,45
0.139,2.44,20
0.139,2.55,3
0.139,2.66,4
0.139,2.77,2
0.139,2.88,2
0.139,2.99,2
0.208,2.0,461
0.208,2.11,399
0.208,2.22,371
0.208,2.33,89
0.208,2.44,26
0.208,2.55,26
0.208,2.66,3
0.208,2.77,3
0.208,2.88,3
0.208,2.99,2
0.276,2.0,960
0.276,2.11,377
0.276,2.22,265
0.276,2.33,268
0.276,2.44,131
0.276,2.55,59
0.276,2.66,1
0.276,2.77,4
0.276,2.88,3
0.276,2.99,2
0.345,2.0,858
0.345,2.11,1003
0.345,2.22,575
0.345,2.33,324
0.345,2.44,219
0.345,2.55,114
0.345,2.66,24
0.345,2.77,4
0.345,2.88,6
0.345,2.99,3
0.413,2.0,1568
0.413,2.11,1237
0.413,2.22,730
0.413,2.33,409
0.413,2.44,238
0.413,2.55,130
0.413,2.66,27
0.413,2.77,21
0.413,2.88,4
0.413,2.99,5
0.482,2.0,1882
0.482,2.11,1505
0.482,2.22,889
0.482,2.33,483
0.482,2.44,375
0.482,2.55,240
0.482,2.66,77
0.482,2.77,18
0.482,2.88,5
0.482,2.99,4
0.55,2.0,2144
0.55,2.11,1664
0.55,2.22,936
0.55,2.33,786
0.55,2.44,458
0.55,2.55,383
0.55,2.66,142
0.55,2.77,34
0.55,2.88,17
0.55,2.99,9
0.619,2.0,2158
0.619,2.11,1605
0.619,2.22,1350
0.619,2.33,861
0.619,2.44,433
0.619,2.55,393
0.619,2.66,77
0.619,2.77,74
0.619,2.88,14
0.619,2.99,6
