Beta,Alpha,Average_MaxInf
0.002,2.0,1.0
0.002,2.11,1.0
0.002,2.22,1.0
0.002,2.33,1.01
0.002,2.44,1.0
0.002,2.55,1.0
0.002,2.66,1.01
0.002,2.77,1.02
0.002,2.88,1.0
0.002,2.99,1.01
0.071,2.0,18.74
0.071,2.11,3.5
0.071,2.22,7.58
0.071,2.33,2.58
0.071,2.44,1.58
0.071,2.55,1.49
0.071,2.66,1.2
0.071,2.77,1.2
0.071,2.88,1.15
0.071,2.99,1.08
0.139,2.0,126.27
0.139,2.11,81.95
0.139,2.22,29.07
0.139,2.33,12.87
0.139,2.44,5.55
0.139,2.55,1.81
0.139,2.66,1.96
0.139,2.77,1.41
0.139,2.88,1.35
0.139,2.99,1.4
0.208,2.0,177.68
0.208,2.11,148.23
0.208,2.22,122.52
0.208,2.33,26.74
0.208,2.44,7.77
0.208,2.55,7.63
0.208,2.66,1.78
0.208,2.77,1.89
0.208,2.88,2.05
0.208,2.99,1.52
0.276,2.0,395.88
0.276,2.11,142.16
0.276,2.22,91.06
0.276,2.33,86.85
0.276,2.44,35.03
0.276,2.55,16.34
0.276,2.66,1.29
0.276,2.77,2.41
0.276,2.88,2.14
0.276,2.99,1.7
0.345,2.0,366.45
0.345,2.11,399.3
0.345,2.22,212.31
0.345,2.33,106.77
0.345,2.44,69.65
0.345,2.55,32.35
0.345,2.66,7.41
0.345,2.77,2.81
0.345,2.88,3.01
0.345,2.99,2.33
0.413,2.0,673.25
0.413,2.11,516.22
0.413,2.22,274.68
0.413,2.33,139.46
0.413,2.44,72.71
0.413,2.55,35.09
0.413,2.66,8.39
0.413,2.77,6.01
0.413,2.88,2.32
0.413,2.99,2.71
0.482,2.0,842.37
0.482,2.11,627.81
0.482,2.22,351.65
0.482,2.33,173.02
0.482,2.44,117.95
0.482,2.55,68.24
0.482,2.66,21.14
0.482,2.77,5.87
0.482,2.88,2.74
0.482,2.99,2.79
0.55,2.0,984.4
0.55,2.11,721.44
0.55,2.22,382.3
0.55,2.33,295.55
0.55,2.44,155.59
0.55,2.55,115.44
0.55,2.66,35.67
0.55,2.77,10.06
0.55,2.88,6.53
0.55,2.99,4.04
0.619,2.0,1000.19
0.619,2.11,709.09
0.619,2.22,555.38
0.619,2.33,327.55
0.619,2.44,158.11
0.619,2.55,124.13
0.619,2.66,22.89
0.619,2.77,21.51
0.619,2.88,5.54
0.619,2.99,3.2
